"Service","Glue($)","CloudTrail($)","S3($)","CloudWatch($)","Key Management Service($)","EC2-Instances($)","Relational Database Service($)","Elastic File System($)","Managed Workflows for Apache Airflow($)","DynamoDB($)","Config($)","EC2-Other($)","GuardDuty($)","DMS($)","Elastic Container Service for Kubernetes($)","VPC($)","Kinesis Analytics($)","Transfer Family($)","Lambda($)","Athena($)","Elastic MapReduce($)","Route 53($)","Elastic Load Balancing($)","Neptune($)","SQS($)","Kinesis($)","Secrets Manager($)","Cost Explorer($)","Identity and Access Management Access Analyzer($)","EC2 Container Registry (ECR)($)","SNS($)","Kinesis Firehose($)","ElastiCache($)","WAF($)","SES($)","SageMaker($)","Data Pipeline($)","Systems Manager($)","Redshift($)","Service Catalog($)","API Gateway($)","CloudWatch Events($)","Step Functions($)","Backup($)","Simple Workflow Service($)","Glacier($)","CloudShell($)","Tax($)","CloudFormation($)","X-Ray($)","Total costs($)"
"Service total","49994.3724713181","10616.357329","8569.8419326207","6204.2087530632","4492.724742818","3919.0050378243","3006.2462457758","2080.9469197336","1961.5050168139","1386.2454334914","1175.1485","970.169656262","904.3113548639","708.288","520.8","501.3998458976","471.075323639","446.4","385.1780220658","359.6542","285.438537456","186.9292856188","167.4091886243","148.3944912304","132.895647172","122.3244253944","94.3432638559","94.28","58.8","23.0944924439","11.5947234718","6.9777342539","6.398654076","5.999999904","2.03373","1.3660730703","0.999999984","0.213915","0.15127008","0.1498","0.0295386192","0.020227","0.000457785","0.0003660697","0.0000177353","0.0000020197","1.119e-7","0","0","0","100023.7246261638"
"2025-01-01","609.32683408","176.962284","266.4035624494","226.1301026814","36.917826624","93.5460670908","82.2180689259","66.6032316264","61.974825579","30.4317135525","37.806","30.2026265142","40.61229243","22.848","16.8","15.7130039892","16.646451612","14.4","14.6238076351","5.726655","","6.03855","5.4000001333","4.7874714784","2.8105936886","3.887715171","2.9366019352","0.01","58","0.732476496","0.2396148521","0.2167381246","0.206408196","0.193548384","0.02257","","0.032258064","0.006795","0.00487968","0","0.00028","0.00067","0.0000015938","0.0000118087","0.0000004628","0.000000071","","0","","","1951.4205389294"
"2025-01-02","1763.369660186","503.168098","419.2415349759","259.4593968496","191.890131624","95.6938008306","83.3226408278","66.7406061312","62.0089780138","31.7258355491","53.815","29.9531390427","50.1959536496","22.848","16.8","15.8009674573","16.646451612","14.4","17.3326139614","14.20333","","6.0385272","5.4003414636","4.7865240784","2.6550113972","3.8959233677","2.9544019352","40.43","","0.7331037159","0.290681889","0.2225623956","0.206408196","0.193548384","0.04834","","0.032258064","0.006825","0.00487968","0","0.0003133756","0.000668","0.0000021795","0.0000118087","0.0000004628","0.000000071","","","","","3796.5164713752"
"2025-01-03","836.0810412087","419.803543","369.452706853","234.3874911813","144.105573624","95.9816565822","83.0849755779","66.7841421988","61.9766840609","31.3827497994","48.05","29.6651732005","36.5119525432","22.848","16.8","15.7243324423","16.646451612","14.4","17.8429192508","14.30588","","6.0401844","5.4005275112","4.7874204784","2.1777634864","3.8898398788","2.9662469352","5.57","","0.7349902989","0.245553744","0.2260812497","0.206408196","0.193548384","0.05509","","0.032258064","0.006945","0.00487968","0.0084","0.0003098574","0.000191","0.0000024421","0.0000118087","0.0000006942","0.0000000722","","","0","","2608.3819263162"
"2025-01-04","423.904378929","118.762836","230.8575623998","184.7346554912","24.201057624","92.0527586288","82.7844200269","66.8415151672","61.6619551409","32.0721933691","28.959","29.5389373144","26.9142562527","22.848","16.8","15.4408528709","16.646451612","14.4","18.9072237569","3.760315","","6.039094","5.4","4.7860000784","2.4921843584","3.8789352439","2.8451119352","0.02","","0.7360418112","0.2869046009","0.2238658607","0.206408196","0.193548384","0.0148","","0.032258064","0.006945","0.00487968","0.0042","0.0000601348","0.000669","0.0000031399","0.0000118087","0.0000006942","0.000000071","","","","","1539.2602916451"
"2025-01-05","845.5880093213","116.685628","229.5331521809","184.9493959121","22.849839624","92.9118213063","82.4195720606","66.8699120402","61.5131761402","31.5661120438","32.4954","29.5374869578","24.1294140495","22.848","16.8","15.4254434458","16.646451612","14.4","18.4320131234","1.766775","","6.0397672","5.4","4.7875050784","2.873266721","3.8751146316","2.9321319352","0.02","","0.7360418112","0.280203164","0.2237511545","0.206408196","0.193548384","0.01313","","0.032258064","0.007005","0.00487968","0.0042","0.0000566201","0.000669","0.0000023499","0.0000118087","0.0000006942","0.0000000722","","","","","1954.9975543829"
"2025-01-06","479.6310931796","166.446102","254.3754182604","197.8340009099","69.540828624","106.1491094899","82.8450687179","66.858509448","61.9686949149","30.1763522801","42.6434","29.568224316","27.0475472581","22.848","16.8","15.5046349054","16.646451612","14.4","17.6405501772","8.922655","","6.0392556","5.4001338909","4.7862968784","2.4019599764","3.8842564819","3.1246669352","0.03","","0.7360418112","0.2775799952","0.2270747553","0.206408196","0.193548384","0.06179","","0.032258064","0.006975","0.00487968","0.0056","0.0049981026","0.000666","0.0000019306","0.0000118087","0.0000006942","0.000000071","","","0","","1755.271045349"
"2025-01-07","893.5013078132","317.504203","287.1127725548","228.2851149616","149.605644624","95.1633567804","84.4113281557","66.893780513","61.9964131967","34.6524400281","45.4134","29.7345410696","30.2045824198","22.848","16.8","15.8945242213","16.646451612","14.4","19.3421743868","15.976075","","6.0424088","5.4004196235","4.7865882784","3.6026038289","3.8808506674","3.2341069352","0.07","","0.7367373166","0.4320655821","0.2261973635","0.206408196","0.193548384","0.04634","","0.032258064","0.007035","0.00487968","0.0042","0.000841003","0.000867","0.0000022907","0.0000118087","0.0000006942","0.000000071","","","0","","2475.2944809242"
"2025-01-08","1084.0026777959","386.405536","258.7812558121","211.4545102516","174.613965098","109.7409748927","101.1443787915","66.9616949129","62.1139411369","33.0707680602","45.7238","29.5632774195","28.3997774572","22.848","16.8","15.7360826471","16.646451612","14.4","6.6312998878","10.468785","","6.0404932","5.4005569284","4.7875330784","5.1444282765","3.883840134","3.1968869352","0.02","","0.7387395336","0.3486364775","0.2268741871","0.206408196","0.193548384","0.04768","","0.032258064","0.007005","0.00487968","0.0056","0.00200324","0.000693","0.000003082","0.0000118087","0.0000006942","0.000000071","","","0","","2725.795256746"
"2025-01-09","1272.8412165023","219.632474","231.493042563","187.7288211443","99.065313624","119.151848442","105.2606379529","67.001687022","61.9842354377","40.1765524006","30.5716","29.6313846993","30.3424306906","22.848","16.8","15.9598280824","16.646451612","14.4","16.7069702743","6.660815","","6.0392888","5.4003162127","4.7875488784","5.5899540504","3.8893277487","3.0053069352","0.02","","0.740238783","0.5152041105","0.2196293562","0.206408196","0.193548384","0.34733","","0.032258064","0.006975","0.00487968","0.0028","0.0049539308","0.000688","0.0000033845","0.0000118087","0.0000006897","0.0000000697","","","0","","2635.9099815299"
"2025-01-10","1442.7459902541","194.502802","206.45287667","197.2155457073","78.490329624","122.6101006135","96.5027991399","66.9982151995","62.0949694391","37.8857976818","29.7886","29.5763041006","28.7444019703","22.848","16.8","15.925074952","16.646451612","14.4","14.3245419863","3.08998","","6.0439544","5.4003245144","4.7856598784","5.3845881922","3.8861106295","2.9793919352","0.02","","0.7418447774","0.5022712595","0.2204249563","0.206408196","0.193548384","0.05554","","0.032258064","0.006945","0.00487968","0.0056","0.0049362795","0.000193","0.0000028375","0.0000118087","0.0000004598","0.0000000697","","","0","","2728.1176752725"
"2025-01-11","1004.5214252042","118.635351","134.4001911238","149.3988375325","31.146120624","124.7488053935","96.2288980376","67.058536243","61.7292976953","31.9021180385","16.9488","29.5463281453","19.2439026476","22.848","16.8","15.3408382112","16.646451612","14.4","5.6157030006","3.721675","","6.0404856","5.4","4.7868096784","5.1658779599","3.8754515847","2.8169369352","0.02","","0.7424886744","0.2978254938","0.2162710408","0.206408196","0.193548384","0.02189","","0.032258064","0.006975","0.00487968","0.0056","0.0000565857","0.000669","0.0000024768","0.0000118087","0.0000006897","0.0000000697","","","","","2010.7157264309"
"2025-01-12","697.8183546277","133.499445","170.5270026117","160.1112727266","30.777171624","121.4154834437","96.2670081744","67.0651699749","60.611981099","42.2751239719","19.1954","29.5973940545","23.1004753636","22.848","16.8","16.1013466741","16.646451612","14.4","18.3903346425","3.555715","","6.0419528","5.4","4.7869228784","6.1246424074","3.8727712456","2.8067969352","0.02","","0.7424886744","0.525062968","0.2167636697","0.206408196","0.193548384","0.02602","","0.032258064","0.006855","0.00487968","0.0042","0.0000600988","0.000667","0.0000025933","0.0000118087","0.0000004598","0.0000000709","","","","","1792.0154435348"
"2025-01-13","833.6182317083","224.772708","214.902121194","200.746147904","84.810687624","130.7808","100.5215453782","66.9572932018","64.1940156796","34.8941576993","28.696","29.5467144955","26.1993049473","22.848","16.8","15.9743904683","16.646451612","14.4","10.5028686272","7.454955","","6.0411776","5.4000002666","4.7881554784","5.1725275346","3.8797200751","2.8926619352","0.02","","0.7407553941","0.4593190538","0.2201427696","0.206408196","0.193548384","0.07196","","0.032258064","0.006975","0.00487968","0.0056","0.0002635677","0.000677","0.0000028965","0.0000118087","0.0000004598","0.0000000691","","","0","","2175.4034387727"
"2025-01-14","1223.8497603592","322.463978","238.7941808043","199.0069171072","103.957377624","126.9171757157","99.035027552","66.9248439591","64.9506687207","30.9055700038","32.5896","29.5435041622","24.7305886493","22.848","16.8","16.0314371736","16.646451612","14.4","3.9157456753","8.191905","","6.0407556","5.4","4.7865820784","4.4644194598","3.880187324","2.9056969352","0.02","","0.73714146","0.4611696228","0.218400642","0.206408196","0.193548384","0.03076","","0.032258064","0.007005","0.00487968","0.0042","0.0006926553","0.000676","0.0000034945","0.0000118087","0.0000006897","0.0000000691","","","0","","2691.8975292819"
"2025-01-15","1603.9301421932","308.236981","282.8953529622","230.815621149","96.207060624","130.1040470254","98.7636893594","66.9122334263","65.3312502979","41.1973708052","40.402","29.6755350993","32.9592655865","22.848","16.8","16.3051064343","16.646451612","14.4","16.2981399488","8.546045","","6.0432356","5.4011053864","4.7875262784","5.4842158548","3.8801651229","3.5561232792","0.02","0.2","0.737713098","0.5748794749","0.2238505005","0.206408196","0.193548384","0.04463","","0.032258064","0.006915","0.00487968","0.0042","0.0002704174","0.0007","0.0000024425","0.0000118087","0.0000004598","0.0000000673","","","0","","3170.6769316383"
"2025-01-16","2189.4131940142","547.024015","353.0467302702","202.7635113513","240.950694624","130.1825904226","103.618002682","67.0631470341","64.5981520909","37.378262264","38.549","31.9453759456","27.0245582369","22.848","16.8","16.0666124223","16.646451612","14.4","13.7356666265","15.293385","","6.0432448","5.4005976926","4.7859800784","5.4554088403","3.8760580012","2.8663282791","0.02","","0.7395411081","0.4320253639","0.2223110234","0.206408196","0.193548384","0.0757","","0.032258064","0.006945","0.00487968","0.0056","0.0004944114","0.000671","0.0000021743","0.0000118087","0.0000006897","0.0000000673","","","0","","4179.715364259"
"2025-01-17","3517.9428329596","688.07786","425.4204162895","246.9553670931","258.280227624","132.7926460446","97.2909577744","67.0869565554","64.1536010735","48.8656410047","52.5624","29.9918439299","36.6954078639","22.848","16.8","16.1611225425","16.646451612","14.4","13.8711357572","14.580055","","6.0429424","5.4003457384","4.7863258784","5.0498074775","3.8765564927","3.3507951608","0.02","","0.7417953158","0.4310566465","0.2233839212","0.206408196","0.193548384","0.06575","","0.032258064","0.006885","0.00487968","0.0028","0.0004841553","0.000675","0.0000020483","0.0000118087","0.0000006897","0.0000000709","","","0","0","5811.8596352525"
"2025-01-18","2365.0360436671","123.604387","169.905038444","163.149608596","33.250335624","125.9965910212","97.865321613","67.1520591435","62.7939181764","45.0320428505","23.5374","29.617277527","22.4306197653","22.848","16.8","15.7823665676","16.646451612","14.4","14.2702453844","3.76984","","6.0425784","5.4000001333","4.7862606784","5.0857255872","3.8733747218","2.8507401608","0.02","","0.7425374127","0.2688260879","0.2192446958","0.206408196","0.193548384","0.0201","","0.032258064","0.006885","0.00487968","0.0056","0.0000253258","0.000185","0.0000025938","0.0000118087","0.0000006897","0.0000000745","","","","","3463.6467396864"
"2025-01-19","1225.0994697431","134.746002","176.9604557668","161.6873341426","40.114953624","127.2528","99.8351206393","67.1896342587","62.8184426555","36.0759821244","25.5172","29.5927887762","22.9801356286","22.848","16.8","15.5514618927","16.646451612","14.4","12.9631003226","3.60965","","6.03447946","5.4","4.7874830784","5.6876670596","3.8705139752","3.6983701608","0.02","0.2","0.744435192","0.4326240931","0.2191218259","0.206408196","0.193548384","0.01213","","0.032258064","0.006915","0.00487968","0.0042","0.0000506505","0.000844","0.000002442","0.0000118087","0.0000006897","0.0000000757","","","","","2344.2449270221"
"2025-01-20","1064.3821639972","281.711309","244.5655972015","197.5375304227","117.923523624","123.7093475049","98.4797113234","67.1894694371","63.2723489072","31.0777978259","45.155","29.2940735953","31.4198772638","22.848","16.8","16.1196113004","16.646451612","14.4","7.7207954386","6.56874","","6.0298716","5.400465064","4.7873376784","3.1886266667","3.8763128868","3.5976901608","0.01","","0.7463292317","0.2419445497","0.2232116763","0.206408196","0.193548384","0.07779","","0.032258064","0.006855","0.00487968","0.0056","0.0005289589","0.000732","0.0000021985","0.0000118087","0.0000004598","0.0000000745","","","0","","2525.4517527928"
"2025-01-21","1828.0712198447","632.275741","385.0730778647","177.9056445458","354.598176624","103.9126821755","100.3531679922","67.213728139","63.0978597242","37.6880613203","44.0775","28.6126937682","26.1128570984","22.848","16.8","16.6073362597","16.646451612","14.4","12.6193635712","23.69671","","6.0036593588","5.4001193228","4.7875858784","3.3547901528","3.8840637815","3.2640299456","0.02","","0.7495343212","0.4342814637","0.2186821551","0.206408196","0.193548384","0.10383","","0.032258064","0.006885","0.00487968","0.0056","0.0023009745","0.000693","0.0000025939","0.0000118087","0.0000006897","0.0000000745","","","0","","4001.2834363851"
"2025-01-22","2548.1528026525","863.964805","488.0465332029","208.376392271","465.535065624","206.9849698541","108.2223166095","67.2981171793","64.4117389964","47.8437420783","44.5745","37.5278147754","29.0182732389","22.848","16.8","16.8017444937","16.5962912675","14.4","18.8150370865","24.22042","78.232","6.0122472","5.4002882394","4.7868482784","4.8041564466","3.8834992783","2.9445033864","0.02","","0.7519871733","0.2962491703","0.2223337586","0.206408196","0.193548384","0.12432","","0.032258064","0.006885","0.00487968","0.0028","0.0005571918","0.000738","0.0000043257","0.0000118087","0.0000004598","0.0000000563","","","0","","5418.3650884276"
"2025-01-23","2377.1846352974","953.814305","501.3266360668","209.0395749387","461.469348624","419.2883259944","104.854104938","67.3894561969","63.518425349","57.1320673722","57.461","47.6357554405","35.4852371994","22.848","16.8","17.1390658072","16.646451612","14.4","8.4469765749","26.621285","205.663422272","6.0120384","5.4007696401","4.7864290784","4.2794516509","3.8847734559","2.9165283864","0.02","","0.7522653628","0.2853272856","0.2200147222","0.206408196","0.193548384","0.08821","","0.032258064","0.006885","0.00487968","0.0042","0.0006097881","0.000976","0.0000021741","0.0000118087","0.0000004598","0.0000000505","","","0","","5713.2596612709"
"2025-01-24","2147.8541991412","590.852686","346.1194464664","207.3301179325","352.732413624","108.9748903464","105.3422950533","67.4038658151","64.6206340674","83.9646278499","39.039","28.8489171775","32.3376940465","22.848","16.8","16.2847092723","19.5824077494","14.4","0.4615488684","21.428935","0.976389984","6.012154","5.4003761374","4.7862824784","3.9845764132","3.8839154207","2.9287533864","9.92","","0.7522656696","0.4172880122","0.2155934993","0.206408196","0.193548384","0.12885","","0.032258064","0.006825","0.00487968","0.0056","0.00046185","0.000727","0.0000024403","0.0000118087","0.0000006897","0.0000000527","","","","","4327.0835565769"
"2025-01-25","2283.1797540395","101.756427","127.0826951675","176.3003052965","6.824016624","95.3177778796","105.3007931124","67.4474192307","63.8610461163","87.8190661938","19.957","28.7222440347","21.4395371155","22.848","16.8","16.4369978013","19.1943647758","14.4","0.2861407499","1.58934","","6.0120404","5.4","4.7882872784","4.2126838509","3.8728587212","2.8819083864","0.03","","0.7522656696","0.6870945524","0.2034709943","0.206408196","0.193548384","0.0314","","0.032258064","0.006795","0.00487968","0.0028","0.0000453857","0.000182","0.0000019311","0.0000118087","0.0000002299","0.0000000517","","","","","3305.8818657218"
"2025-01-26","1329.9483155197","87.610331","120.7995059941","170.4155386444","13.613001624","93.2803833613","103.0590277341","67.4114054096","63.4383896942","87.3765508626","20.9805","28.6996904671","21.570294205","22.848","16.8","16.1680614854","16.646451612","14.4","0.2639325762","3.44824","","6.0118304","5.4000023331","4.7871972784","4.0429265239","3.8692155638","2.8527133864","0.01","","0.7522656696","0.4639211434","0.2050154075","0.206408196","0.193548384","0.03822","","0.032258064","0.006825","0.00487968","0.0084","0.0000453857","0.00067","0.0000016285","0.0000118087","0.0000006897","0.0000000527","","","0","","2327.6639767851"
"2025-01-27","1052.9488176589","520.151954","319.5612480212","191.8251881451","309.145689624","111.2833541682","103.1936879219","67.4015229984","64.717722758","73.653948827","39.5865","28.9751916796","25.1882359053","22.848","16.8","16.3817550315","19.096816421","14.4","3.8721667687","15.58898","","6.0140916","5.4007860163","4.7854102784","3.9859030186","3.8765626076","2.9130133864","0.04","","0.7527739841","0.1940863653","0.210105798","0.206408196","0.193548384","0.08161","","0.032258064","0.006855","0.00487968","0.0042","0.0005089453","0.000696","0.0000015995","0.0000118087","0.0000002299","0.0000000527","0.0000001119","","0","","3045.3244910555"
"2025-01-28","1576.572408805","627.11758","387.4334529515","198.6195381821","273.731682624","115.722434538","101.1394126435","67.4559314989","65.5662815768","52.8323274676","46.5185","28.9716694349","30.1224257069","22.848","16.8","16.6580689492","12.9046314454","14.4","13.5703914615","32.99919","","6.0130952","5.4005659406","4.7882990784","4.5130855179","3.8748706029","2.9416444616","0.01","0.2","0.7560205712","0.3426153346","0.2031132638","0.206408196","0.193548384","0.11943","0.0334449634","0.032258064","0.006825","0.00487968","0.0084","0.000238536","0.000767","0.0000028533","0.0000118087","0.0000006897","0.0000000527","","","0","","3731.6334524841"
"2025-01-29","2492.2957777624","331.095827","272.8494436005","202.9627384783","112.826211624","117.7614137583","102.9338306479","67.5034333045","65.9878204935","57.0964124543","41.6115","30.338501711","32.8236654903","22.848","16.8","17.1419526784","","14.4","13.800226169","28.30487","","6.0123592","5.400342724","4.7868544784","4.5252663099","3.8742477963","2.944216612","16.41","0.2","0.7607780866","0.2990647689","0.2109360749","0.206408196","0.193548384","0.05748","","0.032258064","0.006825","0.00487968","0.0098","0.0003945857","0.000678","0.000001268","0.0000118087","0.0000004598","0.0000000527","","","0","","4087.3179767223"
"2025-01-30","3392.0014818338","228.398946","238.5211353454","217.0255635613","78.070329624","116.3231887667","100.0978648969","67.5883167662","64.680567046","50.8781655534","52.482","57.2863240987","29.6852666007","22.848","16.8","17.6635452943","0.8324249039","14.4","16.4540840373","13.2218","0.01391112","6.0105624","5.4006268679","4.7861320784","4.6005373814","4.5868311574","3.086721612","0.01","","0.7648073639","0.3034157146","0.2846364397","0.206408196","0.193548384","0.05906","","0.032258064","0.006855","0.00487968","0.0028","0.0015111057","0.000887","0.0003839453","0.0000118087","0.0000002299","0.0000000517","","","0","","4825.6157899292"
"2025-01-31","3589.5592310191","176.673185","217.9077865524","220.0569679522","35.480142624","133.253835753","99.8505715154","67.6810857019","63.856981536","37.2158821591","50.4415","29.228923309","30.6411235832","22.848","16.8","17.5575701239","","14.4","17.5203043385","8.3612","0.55281408","6.01296","5.4001768434","4.7872330784","4.5809970821","5.2205616243","3.152236612","21.39","","0.7680466558","0.3279306316","0.3479309718","0.206408196","0.193548384","0.04198","1.3326281069","0.032258064","0.006795","0.00487968","0.007","0.0011855001","0.000743","0.0000024343","0.0000118087","0.0000006897","0.0000000527","","","","","4903.7026196635"