"Service","Glue($)","CloudWatch($)","EC2-Instances($)","S3($)","CloudTrail($)","Relational Database Service($)","Elastic File System($)","Managed Workflows for Apache Airflow($)","Config($)","EC2-Other($)","DMS($)","Key Management Service($)","GuardDuty($)","DynamoDB($)","Athena($)","Elastic Container Service for Kubernetes($)","VPC($)","Transfer Family($)","Kinesis Analytics($)","SQS($)","Route 53($)","Identity and Access Management Access Analyzer($)","Elastic Load Balancing($)","Neptune($)","Kinesis($)","Elastic MapReduce($)","Secrets Manager($)","Cost Explorer($)","Lambda($)","EC2 Container Registry (ECR)($)","Kinesis Firehose($)","ElastiCache($)","WAF($)","SNS($)","SES($)","Data Pipeline($)","Systems Manager($)","Redshift($)","Service Catalog($)","CloudWatch Events($)","API Gateway($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","CloudShell($)","Tax($)","CloudFormation($)","X-Ray($)","Total costs($)"
"Service total","47816.5703860452","11296.0259279985","6521.8299411585","4569.5703848131","3088.086545","2947.6606945063","2030.8450976169","1852.6445832429","1110.0049","976.4281756678","685.44","684.5850262148","646.1838055342","633.4233450824","530.86731","523.919005667","504.2494109414","432.0000103889","404.9646443786","332.1273994728","180.9529754101","173.6","162.012550898","143.608258264","116.3804982916","100.210474672","86.7956877871","45.75","40.0650822908","22.21770158","15.2493975155","6.39865404","6.000000048","1.3731198887","1.34985","1.000000008","0.207825","0.1512756","0.1148","0.025395","0.0227921485","0.0000846356","0.0000191072","0.0000020132","3.044e-7","0","0","0","88690.913038232"
"2024-11-01","829.3939384","210.8322606754","329.5022345509","133.7821583588","59.138673","96.7184039965","66.5330934507","61.7869471058","33.736","32.964765284","22.848","41.999041344","34.5689320535","20.4072042895","19.977","14.4","16.7810871637","14.4","3.1192417962","11.4041311575","6.039636","","5.4001713277","4.7872578688","3.8800488345","6.72","2.8060533336","0.01","1.0362399741","0.7366144008","0.2343585604","0.213288468","0.2000000016","0.0684630439","0.02246","0.0333333336","0.006795","0.00504252","0","0.001158","0.0014398717","0.0000013254","0.0000004628","0.0000000438","","0","","","2086.4954749972"
"2024-11-02","463.2771052527","165.4710601125","224.53465286","105.6460580155","7.640956","93.4929809297","67.0291794131","61.4368891558","27.055","33.0053284837","22.848","2.664868344","24.501971144","19.4110572714","1.20811","14.4","15.4802386376","14.4000008838","","5.558383653","6.039298","","5.4000009778","4.7863264688","3.8763004107","6.72","2.7940933336","0.03","0.3985727805","0.7366144008","0.2351593544","0.213288468","0.2000000016","0.0234992172","0.0095","0.0333333336","0.006765","0.00504252","0","0.001187","0.0013429753","0.0000013254","0.0000002314","0.000000054","","","","","1400.5721660099"
"2024-11-03","320.4528497089","163.2372703427","259.0890461486","106.0301671105","7.090689","92.1634344082","67.0685692127","61.4205406192","25.392","32.9658070277","22.848","1.960514788","21.7227060778","19.4141728647","0.412825","14.4","15.4842124472","14.4","","4.933748453","6.0417204","","5.4000199111","4.7884508688","3.8732659173","6.72","2.7110983336","0.03","0.2291876946","0.7366144008","0.2335845117","0.213288468","0.2000000016","0.0119429169","0.01382","0.0333333336","0.006765","0.00504252","0.0014","0.001298","0.0018979252","0.0000018715","0.0000006942","0.000000057","","","","","1281.7392860351"
"2024-11-04","1004.0618657611","336.1141663218","305.27277008","169.4997602652","150.028287","96.840503569","67.0317686358","61.7302835087","41.649","33.1017585073","22.848","71.202454344","28.6506616794","19.4107507806","12.718885","14.4","15.3557947868","14.4000001894","","4.3887656849","6.0416168","","5.4011238031","4.7858742688","3.8762894091","6.72","2.7563616669","23.88","0.8579311221","0.7366144008","0.3175950306","0.213288468","0.2000000016","0.0319412825","0.04568","0.0333333336","0.006765","0.00504252","0.0042","0.000986","0.0019758496","0.0000013254","0.0000004628","0.000000057","","","0","","2524.6220969159"
"2024-11-05","1710.2464612797","490.0348046177","377.4985314188","184.3570800212","174.289743","97.9145721975","67.1264302118","61.8996086779","46.0594","33.150997863","22.848","11.345263344","32.9615706005","19.4100041876","14.3866","14.4","15.8668768587","14.4000064951","5.7883438408","5.474274895","6.0405388","","5.4003078335","4.7863908688","3.873338754","6.72","2.826545","0.03","0.908340006","0.7366144008","0.4750342616","0.213288468","0.2000000016","0.1718020579","0.04605","0.0333333336","0.006855","0.00504252","0.0056","0.001302","0.002136774","0.0000014772","0.0000004628","0.0000000568","","","0","","3431.9410915859"
"2024-11-06","1682.7269168467","435.0386393122","399.8508917137","159.7444513307","106.015089","95.8691413761","67.182855607","61.8224698634","56.9662","34.4691940934","22.848","33.873766344","25.2192983624","19.4101881817","17.20036","14.4","17.5127592489","14.4000013879","16.917406534","14.9944238859","6.0403628","172.6","5.4008929955","4.7886038688","3.8757368561","6.72","2.9780627784","0.02","0.9108928075","0.7366144008","0.4145574361","0.213288468","0.2000000016","0.0373508296","0.05246","0.0333333336","0.007095","0.00504252","0.0042","0.002364","0.0009390922","0.0000043411","0.0000006942","0.0000000578","","","","","3501.5038553693"
"2024-11-07","1426.5205888146","427.7365717543","348.3896219881","143.8663267771","71.908519","96.4813320692","67.4414475957","61.8035546616","37.0652","33.2735015005","22.848","10.652603122","25.0594688701","19.4327021046","13.96306","14.4","19.1051162093","14.4","16.657222193","21.9438547616","6.0431304","","5.4004536462","4.7864506688","3.8797661008","6.72","2.7724200008","0.02","0.9208390786","0.7366144008","0.5437841261","0.213288468","0.2000000016","0.0264573667","0.04684","0.0333333336","0.007155","0.00504252","0.0042","0.001583","0.0004359479","0.0000051937","0.0000009256","0.000000058","0.0000001119","","","","2925.3104917708"
"2024-11-08","1177.579249735","360.3011094166","376.0878200732","170.9088700634","138.230908","96.9472794586","67.3466613461","61.7840486355","40.4232","33.7445379206","22.848","43.8461056776","23.4823034043","19.9555840891","21.15745","14.4","18.8273508872","14.4000004163","16.6733333328","22.1723664705","6.044286","","5.4006572944","4.7867198688","3.8759349311","6.72","2.7198150008","0.02","1.0001651554","0.7366144008","0.5771240191","0.213288468","0.2000000016","0.0248271537","0.0574","0.0333333336","0.007125","0.00504252","","0.001557","0.0008555988","0.0000058225","0.0000006897","0.0000000573","","","0","0","2773.5409312424"
"2024-11-09","539.7452661673","361.9521726302","274.7146666047","128.2169417963","35.373558","93.0929005804","67.3924818612","61.3843907109","26.8746","32.7076582167","22.848","8.5480876776","19.2574538297","19.4153584943","4.244505","14.4","18.7628213709","14.4","16.6733333328","23.308118434","6.044642","","5.4","4.7863354688","3.8711864946","6.72","2.6913300008","0.03","0.5662168745","0.7366144008","0.7264281656","0.213288468","0.2000000016","0.0205177533","0.01206","0.0333333336","0.007065","0.00504252","0.0014","0.000681","0.0000798455","0.000003711","0.0000006897","0.0000000665","","","","","1815.3785405013"
"2024-11-10","712.419329693","227.2583995845","282.7020560061","124.6332321009","27.859809","92.4995665807","67.3999807375","61.1727595282","24.7226","32.6695225837","22.848","7.4477536776","15.713201718","19.4107300763","13.633975","14.4","17.3079753395","14.4","16.6733333328","15.0993849161","6.0449396","","5.4000002667","4.7866868688","3.8730664276","6.72","2.6841750008","0.02","0.4110708777","0.7366144008","0.4326732375","0.213288468","0.2000000016","0.0146972199","0.02063","0.0333333336","0.007125","0.00504252","0.0014","0.000635","0.0000491985","0.000003955","0.0000006897","0.0000000721","","","","","1841.8770420132"
"2024-11-11","2387.9761206981","359.7141880757","308.049753807","203.132253692","190.383977","96.3605094502","67.4359601047","61.6568053094","46.38","33.3359838253","22.848","18.4570036776","18.0209237072","19.4118402232","30.094355","15.807051417","15.9618334967","14.4","16.6733333328","6.0891175825","6.0475164","0.2","5.4006552992","4.7881696688","3.8762069433","6.72","2.8937550003","0.02","1.0933740357","0.7385884906","0.4266002687","0.213288468","0.2000000016","0.0390593614","0.06045","0.0333333336","0.00708","0.00504252","0.0014","0.000646","0.0018096871","0.0000021746","0.0000004598","0.0000000709","","","0","","3964.955988583"
"2024-11-12","3590.1798967398","532.4704392346","241.4640876076","209.2363819499","204.61898","95.8505961178","67.4470689617","61.7659644243","48.161","32.8347520295","22.848","48.4530916776","17.5345110257","19.4116026939","20.862775","15.663571611","15.6670250474","14.4000010164","13.519080089","5.7080404527","6.0498624","0.2","5.4010692136","4.7866220688","3.8745987246","6.72","2.8252233328","0.02","4.3545362897","0.7395132408","0.5976510072","0.213288468","0.2000000016","0.0434573471","0.06718","0.0333333336","0.006885","0.00504252","0.0056","0.000196","0.0004298988","0.0000031402","0.0000006897","0.0000000721","","","0","","5314.2413584275"
"2024-11-13","2500.3578442903","587.4088024464","302.4413807342","166.4257931838","75.737843","96.777258965","67.4975910021","61.7127504855","43.037","33.682672721","22.848","19.4470756776","20.3050670475","19.4160317202","25.171005","14.4","17.9592294888","14.4","10.0841394883","12.8419991297","6.0509836","","5.4019782684","4.7874248688","3.8803486797","6.72","2.8078361105","0.02","4.1558552043","0.7395132408","0.8851353386","0.213288468","0.2000000016","0.0300680861","0.04641","0.0333333336","0.006915","0.00504252","0.0042","0.000844","0.000995566","0.0000037199","0.0000006897","0.0000000721","","","0","","4147.9416611485"
"2024-11-14","1554.2853299033","469.7027127881","339.8389374133","230.5750929894","252.030065","96.5672567626","67.6749174915","61.8318499946","48.6904","32.7941584857","22.848","80.0395426776","17.5865495507","32.6640902762","59.45414","14.4","18.4775670584","14.4","12.4222306007","18.5218557144","6.054282","","5.4001371697","4.7863298688","3.885501001","6.72","2.9301244435","0.02","4.0421464612","0.7405594296","0.5543864953","0.213288468","0.2000000016","0.1557784903","0.04368","0.0333333336","0.006915","0.00504252","0.0056","0.000674","0.0005625628","0.0000027446","0.0000006897","0.0000000711","0.0000001925","","0","","3480.6030416498"
"2024-11-15","3349.1734655971","755.6913804776","280.7699437485","323.5430603184","509.967535","97.1199203279","67.7042201413","61.9021487957","28.5624","32.4780255956","22.848","26.7397726776","17.4333356412","54.6570283962","31.419775","14.4","16.877465581","14.4","9.7811884952","11.7058405278","6.039064","","5.4005562297","4.7873722688","3.885440639","6.0388132","2.8168505552","0.02","3.3667555889","0.7421225856","0.9117726063","0.213288468","0.2000000016","0.0311359038","0.0346","0.0333333336","0.006975","0.00504252","0.0028","0.000704","0.0002454724","0.0000025938","0.0000006897","0.0000000733","","","0","","5761.7113820508"
"2024-11-16","770.4143942975","188.5327083688","112.1046375409","118.2847803404","42.899309","92.226714021","67.7889882058","61.5290043504","18.2102","31.1630372556","22.848","13.1941396776","15.3010319284","21.9943854623","7.993015","14.4","14.6744158743","14.4","16.6733333328","1.3649985183","6.0179088","0.2","5.4000336889","4.7870360688","3.8808125048","","2.86697","0.02","1.249337871","0.7421225856","0.2746713961","0.213288468","0.2000000016","0.0185089612","0.0283","0.0333333336","0.006915","0.00504252","0.0056","0.00064","0.0000084458","0.0000025943","0.0000006897","0.0000000709","","","","","1671.9476261744"
"2024-11-17","1087.5387173717","295.779267144","120.8344157835","110.6001460363","18.664419","93.3868843891","67.9077412854","61.3853346264","18.3406","31.118933984","22.848","13.8699196776","13.8414908309","19.3260870087","12.973605","14.4","14.6411996175","14.4","16.6733333328","1.4724287703","6.0078373063","","5.4000001333","4.7859972688","3.8751730725","","2.826705","0.02","0.4467791603","0.7421225856","0.2733629551","0.213288468","0.2000000016","0.0144484162","0.02603","0.0333333336","0.006915","0.00504252","0.0028","0.000641","0.0000084458","0.0000024425","0.0000006897","0.0000000733","","","","","2074.8830117308"
"2024-11-18","4138.0553304783","957.100691898","153.4934499067","137.2900373164","67.642076","98.531797542","67.9323917834","61.7864690656","50.2766","31.4613283313","22.848","30.2090356776","17.1573093473","19.3226001646","21.499425","15.134552194","14.8200494429","14.4","16.6733333328","1.5112512184","6.0196076","0.2","5.4008154912","4.7884502688","3.8841388399","","2.973695","21.29","1.5183346319","0.7421225856","0.3966276612","0.213288468","0.2000000016","0.038671957","0.05904","0.0333333336","0.006945","0.00504252","0.0056","0.000691","0.0002117448","0.0000028368","0.0000009196","0.0000000733","","","0","","5984.9223486326"
"2024-11-19","2957.7874927883","356.5508598996","149.4709612305","146.3844570041","92.642366","99.082282278","67.9780292313","61.9632688888","46.571","31.6636505079","22.848","18.9807886776","16.3684671917","19.323415455","35.23045","16.755425223","15.1150259038","14.4","16.6192100336","1.4580968001","6.0166872","0.2","5.4002906566","4.7860418688","3.8816648267","","2.942985","0.02","1.6085911645","0.7421225856","0.5455721713","0.213288468","0.2000000016","0.0359188893","0.06874","0.0333333336","0.006915","0.00504252","0.0056","0.000202","0.0002822666","0.0000031986","0.0000004598","0.0000000697","","","0","","4213.906528794"
"2024-11-20","1278.1379713318","148.3442614785","114.7257752995","113.1746766103","16.457555","99.590369923","67.8946872773","61.9229366859","35.6735","33.8926585233","22.848","4.6163656776","16.9210653071","19.3311930804","7.88119","16.8","14.8001013337","14.4","16.6733333328","1.3600804724","6.0096213038","","5.4008092479","4.7870762688","3.8901502425","","2.94261","0.02","1.6083669476","0.7433743222","0.2902360166","0.213288468","0.2000000016","0.1591149555","0.04335","0.0333333336","0.006885","0.00504252","0.0056","0.000728","0.000102533","0.0000021409","0.0000006897","0.0000000709","","","0","","2131.8054133962"
"2024-11-21","957.9024235964","199.0076015016","126.3457341219","109.2860283879","15.570545","99.8823373914","67.9506073447","61.9491376761","34.2755","32.2480558368","22.848","9.6396496776","17.0759305978","19.1770049029","23.16161","16.8","15.024797807","14.4","16.6733333328","4.1113917102","6.0190728","","5.400377756","4.7857296688","3.8856141578","","2.8161488896","0.02","1.5143268146","0.743939592","0.3390834272","0.213288468","0.2000000016","0.0164997224","0.0757","0.0333333336","0.006885","0.00504252","0.0056","0.00078","0.0009842423","0.0000038712","0.0000006897","0.0000000685","","","","","1889.4120999084"
"2024-11-22","1428.2825098241","317.7479808845","148.2062906453","122.502602024","38.545782","106.0204210737","68.0409573015","61.8945371257","36.193","31.8358467719","22.848","13.5276946776","18.262051225","20.2378415869","35.721775","16.558405222","15.9071584918","14.4","16.6733333328","4.0771001884","6.0202704","","5.4000736359","4.7879194688","3.8885372977","","2.9589583344","0.02","1.2988601549","0.743939592","0.3380248239","0.213288468","0.2000000016","0.0228572877","0.08832","0.0333333336","0.006915","0.00504252","0.0028","0.000676","0.001964829","0.0000030043","0.0000006897","0.0000000721","","","","","2563.5150722888"
"2024-11-23","490.7620848876","488.0774720828","98.4778710986","117.9787429418","42.420431","100.6278819612","68.0886669034","61.5670120355","18.1205","31.8303657586","22.848","13.2133696776","16.2204070761","19.1823928468","14.90779","16.8","15.8805148904","14.4","16.6733333328","4.4328505214","6.01717","","5.4","4.7857424688","3.8827206193","","2.9033983344","0.02","0.4091023148","0.743939592","1.0999654945","0.213288468","0.2000000016","0.0166530921","0.0252","0.0333333336","0.006915","0.00504252","0.0056","0.000651","0.000710493","0.0000026861","0.0000006897","0.0000000721","","","","","1698.2791231946"
"2024-11-24","773.4675630773","495.2859024347","103.2879387362","116.8200764154","43.139181","96.3534937737","68.2272019471","61.3824117174","20.2855","31.7065493812","22.848","12.3575626776","16.3395226116","19.1851071242","12.79589","16.8","15.97948962","14.4","16.6733333328","4.4026834057","6.016788","","5.4","4.7876034688","3.8722322302","","2.8752233344","0.02","0.343230628","0.743939592","1.0774169087","0.213288468","0.2000000016","0.0160061689","0.01973","0.0333333336","0.006915","0.00504252","0.0056","0.000812","0.0000225119","0.0000022907","0.0000006897","0.0000000722","","","","","1987.3745944736"
"2024-11-25","809.9697790102","505.9198454978","138.6994446803","125.8819400571","52.563721","99.2074243612","68.1600997914","61.7875982464","43.957","31.8138310303","22.848","18.4560796776","19.4018237851","19.1820910676","21.226955","16.8","17.1164682591","14.4","16.6733333328","10.9149263418","6.0184528","","5.4001061275","4.7864866688","3.8847321145","","2.9141533344","0.02","0.9049397846","0.743939592","0.9828704852","0.213288468","0.2000000016","0.020098918","0.08271","0.0333333336","0.006885","0.00504252","0.0028","0.000809","0.0022471995","0.0000030809","0.0000006897","0.0000000723","","","","","2141.2032603293"
"2024-11-26","1856.1180449685","386.3192310185","123.1550756643","185.4706685755","186.85422","108.1440745798","68.2301257266","61.876272971","61.2625","31.8356715846","22.848","31.0722316776","37.2392531711","19.1813062086","20.741195","28.8","19.8976850974","14.4","16.6733333328","20.5641588038","6.0215032","","5.4004554022","4.7866262688","3.8857950684","","2.9722527779","0.02","0.9933439989","0.743939592","0.4054497318","0.213288468","0.2000000016","0.0347796396","0.07276","0.0333333336","0.006885","0.00504252","0.0042","0.00082","0.000528519","0.0000029296","0.0000006897","0.0000000697","","","0","","3326.4840555909"
"2024-11-27","1805.7397142122","567.8853768697","143.0089912166","188.3723951147","201.365263","112.1639004736","68.2803249483","61.9405431913","43.9495","32.2593355378","22.848","28.7246386776","39.1717432181","19.1821776262","8.086555","28.8","19.753950581","14.4","16.6733333328","22.3140071263","6.0257244","","5.40104766","4.7873236688","3.8814642825","0.091661472","2.8678516664","0.02","0.9602954176","0.743939592","0.7922992947","0.213288468","0.2000000016","0.0266939709","0.07237","0.0333333336","0.006915","0.00504252","0.0056","0.000667","0.000113005","0.0000021741","0.0000004598","0.0000000709","","","0","","3471.0553835841"
"2024-11-28","1361.0317307505","209.8008803453","125.0283666587","165.0193396588","149.003961","105.0110155415","68.3320465602","62.9576026094","39.262","32.1678426238","22.848","24.5557576776","23.0578806148","19.1828563888","12.21006","28.8","18.5921324364","14.4","16.6733333328","23.3663149934","6.026554","","5.4003356209","4.7877300688","3.8703029755","","2.9486872224","0.02","0.9484810954","0.743939592","0.3396761341","0.213288468","0.2000000016","0.0478774265","0.04091","0.0333333336","0.006855","0.00504252","0.0056","0.000659","0.0001157282","0.0000020472","0.0000004598","0.0000000721","","","0","","2546.9405119581"
"2024-11-29","2429.2523976105","171.7769855046","107.2994951187","134.3462092164","71.358696","102.6809056149","68.3302397139","62.0324226812","41.51","32.0978766889","22.848","14.8165516776","21.2521490127","19.1836632231","6.407755","28.8","18.2735885811","14.4","16.6099146502","23.2986964991","6.0269948","","5.400181241","4.7873216688","3.8815920229","","3.4164650008","0.02","1.1820864608","0.743939592","0.2710758243","0.213288468","0.2000000016","0.0835292053","0.05117","0.0333333336","0.006915","0.00504252","0.0042","0.000177","0.0002561603","0.0000021741","0.0000006897","0.0000000721","","","0","","3432.9031180282"
"2024-11-30","2423.7140029527","124.9328852798","107.4850987021","118.5606571409","38.644389","100.0555347928","68.3907638237","61.5590198953","27.3435","32.1545277141","22.848","10.6742956776","16.5557249045","19.1928772868","4.12522","28.8","18.3454793829","14.4","16.6733333328","23.3341083846","6.0269036","","5.4","4.7861572688","3.878537913","","3.5558400008","0.01","0.8268818951","0.743939592","0.2572207716","0.213288468","0.2000000016","0.0904632478","0.0163","0.0333333336","0.006885","0.00504252","0.0056","0.000627","0.0000397585","0.000002443","0.0000006897","0.0000000733","","","","","3303.8464818474"