metric_id,metrics,display_names,operating_system_type,feature_name,unique_identifier,level_1,level_2,level_3,level_4,level_5,hierarchy_id,parent_id_old,metric_sequence_num,level_no,feature_id,parent_id,metric_nature,create_dt
125,DR_Self Service Initiated,Visits to Self Service Features,Apple iOS,OVER ALL,OA,,Visits to Self Service Features,,,,Apple iOS_OA_1.6,Apple iOS_OA_1,125,2,9,115.0,Positive,2025-01-27
126,DR_CoxApp | Visits with Chat and No Self Service Initiated,Visits with Chat but No Self Service,Apple iOS,OVER ALL,OA,,Visits with Chat but No Self Service,,,,Apple iOS_OA_1.7,Apple iOS_OA_1,126,2,9,115.0,Negative,2025-01-27
127,DR_CoxApp | Visits with No Self Service and No Chat,Visits with Neither Self Service nor Chat,Apple iOS,OVER ALL,OA,,Visits with Neither Self Service nor Chat,,,,Apple iOS_OA_1.8,Apple iOS_OA_1,127,2,9,115.0,Negative,2025-01-27
128,DR_CoxApp | Visits not logged in,Not Logged-in Visits,Apple iOS,OVER ALL,OA,,Not Logged-in Visits,,,,Apple iOS_OA_1.9,Apple iOS_OA_1,128,2,9,115.0,Negative,2025-01-27
129,DR_Native Registration Home Page,Visits to Registration Home Page,Apple iOS,RE GISTRATION (NATIVE),RG(,Visits to Registration Home Page,,,,,Apple iOS_RG(_1,,129,1,10,,Positive,2025-01-27
130,DR_Native Registration Confirmation,New Registrations,Apple iOS,RE GISTRATION (NATIVE),RG(,,New Registrations,,,,Apple iOS_RG(_1.1,Apple iOS_RG(_1,130,2,10,129.0,Positive,2025-01-27
131,DR_Native Registration - Already Registered,Already Registered,Apple iOS,RE GISTRATION (NATIVE),RG(,,Already Registered,,,,Apple iOS_RG(_1.2,Apple iOS_RG(_1,131,2,10,129.0,Positive,2025-01-27
132,DR_Native Registration - Did not Registered,Did not Register,Apple iOS,RE GISTRATION (NATIVE),RG(,,Did not Register,,,,Apple iOS_RG(_1.3,Apple iOS_RG(_1,132,2,10,129.0,Negative,2025-01-27
133,DR_Native Registration - Email Lookup,Email Lookup,Apple iOS,RE GISTRATION (NATIVE),RG(,Email Lookup,,,,,Apple iOS_RG(_2,,133,1,10,,Positive,2025-01-27
134,DR_Native Registration - Email Lookup Success,Email Lookup Success Rate,Apple iOS,RE GISTRATION (NATIVE),RG(,,Email Lookup Success Rate,,,,Apple iOS_RG(_2.1,Apple iOS_RG(_2,134,2,10,133.0,Positive,2025-01-27
135,DR_Native Registration - Server Form Errors,Reg_native Server Errors,Apple iOS,RE GISTRATION (NATIVE),RG(,,Reg_native Server Errors,,,,Apple iOS_RG(_2.2,Apple iOS_RG(_2,135,2,10,133.0,Negative,2025-01-27
136,DR_CoxApp | Chat from Registration Flow,Reg_native Interacted with Chat,Apple iOS,RE GISTRATION (NATIVE),RG(,,Reg_native Interacted with Chat,,,,Apple iOS_RG(_2.3,Apple iOS_RG(_2,136,2,10,133.0,Negative,2025-01-27
137,DR_Native Registration - Intent to Register,Intent to Register,Apple iOS,RE GISTRATION (NATIVE),RG(,Intent to Register,,,,,Apple iOS_RG(_3,,137,1,10,,Positive,2025-01-27
138,DR_Native Registration Success,Funnel Success Rate,Apple iOS,RE GISTRATION (NATIVE),RG(,,Funnel Success Rate,,,,Apple iOS_RG(_3.1,Apple iOS_RG(_3,138,2,10,137.0,Positive,2025-01-27
139,DR_Native Registration - Phone Lookup,Phone Lookup,Apple iOS,RE GISTRATION (NATIVE),RG(,Phone Lookup,,,,,Apple iOS_RG(_4,,139,1,10,,Positive,2025-01-27
140,DR_Native Registration - Phone Lookup Success,Phone Lookup Success Rate,Apple iOS,RE GISTRATION (NATIVE),RG(,,Phone Lookup Success Rate,,,,Apple iOS_RG(_4.1,Apple iOS_RG(_4,140,2,10,139.0,Positive,2025-01-27
141,DR_Reset Modem - Home Page,Reset Modem Start Page Visits,Apple iOS,RESET MODEM,RM,Reset Modem Start Page Visits,,,,,Apple iOS_RM_1,,141,1,11,,Positive,2025-01-27
142,DR_Reset Modem - Started Rebooting Process,Started Reset Process,Apple iOS,RESET MODEM,RM,,Started Reset Process,,,,Apple iOS_RM_1.1,Apple iOS_RM_1,142,2,11,141.0,Positive,2025-01-27
143,DR_Reset Modem - Rebooting Complete,Reset Process Complete,Apple iOS,RESET MODEM,RM,,,Reset Process Complete,,,Apple iOS_RM_1.1.1,Apple iOS_RM_1.1,143,3,11,142.0,Positive,2025-01-27
144,DR_Reset Modem - Rebooting Incomplete,Reset Process Incomplete,Apple iOS,RESET MODEM,RM,,,Reset Process Incomplete,,,Apple iOS_RM_1.1.2,Apple iOS_RM_1.1,144,3,11,142.0,Negative,2025-01-27
145,DR_Reset Modem Error -DMCA,DMCA Error,Apple iOS,RESET MODEM,RM,,DMCA Error,,,,Apple iOS_RM_1.2,Apple iOS_RM_1,145,2,11,141.0,Negative,2025-01-27
146,DR_Reset Modem - Agent Chat,Reset_Modem Interacted with Chat,Apple iOS,RESET MODEM,RM,,,Reset_Modem Interacted with Chat,,,Apple iOS_RM_1.2.1,Apple iOS_RM_1.2,146,3,11,145.0,Negative,2025-01-27
147,DR_Reset Modem - Error Outage,Error Outage,Apple iOS,RESET MODEM,RM,,Error Outage,,,,Apple iOS_RM_1.3,Apple iOS_RM_1,147,2,11,141.0,Negative,2025-01-27
148,DR_Reset Modem Error - Non Pay,Non Pay Error,Apple iOS,RESET MODEM,RM,,Non Pay Error,,,,Apple iOS_RM_1.4,Apple iOS_RM_1,148,2,11,141.0,Negative,2025-01-27
149,DR_Reset Tvbox - Home Page,Reset TV Box Start Page Visits,Apple iOS,RESET TV BOX,RTB,Reset TV Box Start Page Visits,,,,,Apple iOS_RTB_1,,149,1,12,,Positive,2025-01-27
150,DR_Reset Tvbox - Rebooting,Reset_TV Started Reset Process,Apple iOS,RESET TV BOX,RTB,,Reset_TV Started Reset Process,,,,Apple iOS_RTB_1.1,Apple iOS_RTB_1,150,2,12,149.0,Positive,2025-01-27
151,DR_Reset Tvbox - Complete,Reset_TV Process Complete,Apple iOS,RESET TV BOX,RTB,,,Reset_TV Process Complete,,,Apple iOS_RTB_1.1.1,Apple iOS_RTB_1.1,151,3,12,150.0,Positive,2025-01-27
152,DR_Reset Tvbox - Incomplete,Reset_TV Process Incomplete,Apple iOS,RESET TV BOX,RTB,,,Reset_TV Process Incomplete,,,Apple iOS_RTB_1.1.2,Apple iOS_RTB_1.1,152,3,12,150.0,Negative,2025-01-27
153,DR_Reset Tvbox Error - DMCA,Reset_TV DMCA Error,Apple iOS,RESET TV BOX,RTB,,Reset_TV DMCA Error,,,,Apple iOS_RTB_1.2,Apple iOS_RTB_1,153,2,12,149.0,Negative,2025-01-27
154,DR_Reset Tvbox - Agent Chat,Reset_TV Interacted with Chat,Apple iOS,RESET TV BOX,RTB,,,Reset_TV Interacted with Chat,,,Apple iOS_RTB_1.2.1,Apple iOS_RTB_1.2,154,3,12,153.0,Negative,2025-01-27
155,DR_Reset Tvbox - Error Outage,Reset_TV Error Outage,Apple iOS,RESET TV BOX,RTB,,Reset_TV Error Outage,,,,Apple iOS_RTB_1.3,Apple iOS_RTB_1,155,2,12,149.0,Negative,2025-01-27
156,DR_Reset Tvbox Error - Non Pay,Reset_TV Non Pay Error,Apple iOS,RESET TV BOX,RTB,,Reset_TV Non Pay Error,,,,Apple iOS_RTB_1.4,Apple iOS_RTB_1,156,2,12,149.0,Negative,2025-01-27
157,DR_Alert Type Visits,Visits with Service Alert,Apple iOS,SERVICE ALERT,SA,Visits with Service Alert,,,,,Apple iOS_SA_1,,157,1,13,,Negative,2025-01-27
158,DR_Outage Alert,Service_alert Outage,Apple iOS,SERVICE ALERT,SA,,Service_alert Outage,,,,Apple iOS_SA_1.1,Apple iOS_SA_1,158,2,13,157.0,Negative,2025-01-27
159,Dr_Campaign Rolloff Alert,Service_alert Campaign Rolloff,Apple iOS,SERVICE ALERT,SA,,Service_alert Campaign Rolloff,,,,Apple iOS_SA_1.2,Apple iOS_SA_1,159,2,13,157.0,Negative,2025-01-27
160,Dr_NonPay Suspension Alert,Service_alert NonPay Suspension,Apple iOS,SERVICE ALERT,SA,,Service_alert NonPay Suspension,,,,Apple iOS_SA_1.3,Apple iOS_SA_1,160,2,13,157.0,Negative,2025-01-27
161,Dr_Network Construction Alert,Service_alert Network Construction,Apple iOS,SERVICE ALERT,SA,,Service_alert Network Construction,,,,Apple iOS_SA_1.4,Apple iOS_SA_1,161,2,13,157.0,Negative,2025-01-27
162,Dr_DMCA Termination Alert,Service_alert DMCA Termination,Apple iOS,SERVICE ALERT,SA,,Service_alert DMCA Termination,,,,Apple iOS_SA_1.5,Apple iOS_SA_1,162,2,13,157.0,Negative,2025-01-27
163,server:error:CC-CLIENT_ERROR,,Apple iOS,SERVER ERRORS,SE,,,,,,,,163,1,14,,,2025-01-27
164,server:error:CC-NO-INTERNET,,Apple iOS,SERVER ERRORS,SE,,,,,,,,164,1,14,,,2025-01-27
165,server:error:CC-INTERNAL_ERROR,,Apple iOS,SERVER ERRORS,SE,,,,,,,,165,1,14,,,2025-01-27
166,server:error:CC-PAYMENT_AUTH_FAILED,,Apple iOS,SERVER ERRORS,SE,,,,,,,,166,1,14,,,2025-01-27
167,server:error:unable_to_retrieve_data_usage_information_at_this_time.,,Apple iOS,SERVER ERRORS,SE,,,,,,,,167,1,14,,,2025-01-27
168,server:error:CC-ACCOUNT_NOT_FOUND,,Apple iOS,SERVER ERRORS,SE,,,,,,,,168,1,14,,,2025-01-27
169,server:error:CC-USERNAME-ALREADY-EXISTS,,Apple iOS,SERVER ERRORS,SE,,,,,,,,169,1,14,,,2025-01-27
170,server:error:CC-PASSWORD_DENIED,,Apple iOS,SERVER ERRORS,SE,,,,,,,,170,1,14,,,2025-01-27
171,server:error:CC-SECURITY_TOKEN_NOT_FOUND,,Apple iOS,SERVER ERRORS,SE,,,,,,,,171,1,14,,,2025-01-27
172,server:error:CC-PAYMENT_UNKNOWN_ERROR,,Apple iOS,SERVER ERRORS,SE,,,,,,,,172,1,14,,,2025-01-27
173,server:error:CC-DUPLICATE_PAYMENT,,Apple iOS,SERVER ERRORS,SE,,,,,,,,173,1,14,,,2025-01-27
174,server:error:CC-INVALID_ZIPCODE,,Apple iOS,SERVER ERRORS,SE,,,,,,,,174,1,14,,,2025-01-27
175,server:error:CC-PRIMARY-IDENTITY-ALREADY-EXISTS,,Apple iOS,SERVER ERRORS,SE,,,,,,,,175,1,14,,,2025-01-27
176,server:error:CC-INVALID_CVV,,Apple iOS,SERVER ERRORS,SE,,,,,,,,176,1,14,,,2025-01-27
177,server:error:CC-INVALID_CARD_NUMBER,,Apple iOS,SERVER ERRORS,SE,,,,,,,,177,1,14,,,2025-01-27
178,server:error:CC-APPOINTMENT-SLOT-ERROR,,Apple iOS,SERVER ERRORS,SE,,,,,,,,178,1,14,,,2025-01-27
179,server:error:CC-PAYMENT_METHOD_RESTRICTED,,Apple iOS,SERVER ERRORS,SE,,,,,,,,179,1,14,,,2025-01-27
180,server:error:CC-INVALID_ROUTING_NUMBER,,Apple iOS,SERVER ERRORS,SE,,,,,,,,180,1,14,,,2025-01-27
181,server:error:CC-SECURE_TOKEN_ALREADY_VERIFIED,,Apple iOS,SERVER ERRORS,SE,,,,,,,,181,1,14,,,2025-01-27
182,server:error:CC-VALIDATION_ERROR,,Apple iOS,SERVER ERRORS,SE,,,,,,,,182,1,14,,,2025-01-27
183,DR_SmartHelp - Landing Page,Devices Page Visits,Apple iOS,SMART HELP,SH,Devices Page Visits,,,,,Apple iOS_SH_1,,183,1,15,,Positive,2025-01-27
184,DR_SmartHelp - Started,Started Troubleshooting (Solution Center),Apple iOS,SMART HELP,SH,,Started Troubleshooting (Solution Center),,,,Apple iOS_SH_1.1,Apple iOS_SH_1,184,2,15,183.0,Positive,2025-01-27
185,DR_SmartHelp - Result,Saw a Result,Apple iOS,SMART HELP,SH,,,Saw a Result,,,Apple iOS_SH_1.1.1,Apple iOS_SH_1.1,185,3,15,184.0,Positive,2025-01-27
186,DR_SmartHelp Result - Unknown,1st common reason (Unknown),Apple iOS,SMART HELP,SH,,,,1st common reason (Unknown),,Apple iOS_SH_1.1.1.1,Apple iOS_SH_1.1.1,186,4,15,185.0,Negative,2025-01-27
187,DR_SmartHelp Result - Disconnected,2nd common reason (Disconnected),Apple iOS,SMART HELP,SH,,,,2nd common reason (Disconnected),,Apple iOS_SH_1.1.1.2,Apple iOS_SH_1.1.1,187,4,15,185.0,Negative,2025-01-27
188,DR_SmartHelp Result - Incomplete Install,3rd common reason (Incomplete Install),Apple iOS,SMART HELP,SH,,,,3rd common reason (Incomplete Install),,Apple iOS_SH_1.1.1.3,Apple iOS_SH_1.1.1,188,4,15,185.0,Negative,2025-01-27
189,DR_SmartHelp - Reboot Flow Started,Did a Device Reboot,Apple iOS,SMART HELP,SH,,Did a Device Reboot,,,,Apple iOS_SH_1.2,Apple iOS_SH_1,189,2,15,183.0,Positive,2025-01-27
190,DR_SmartHelp - P&P,Started Proactive and Preventive (P&P),Apple iOS,SMART HELP,SH,,Started Proactive and Preventive (P&P),,,,Apple iOS_SH_1.3,Apple iOS_SH_1,190,2,15,183.0,Positive,2025-01-27
191,DR_Smarthelp P&P - Let's troubleshoot together,Started P&P troubleshooting,Apple iOS,SMART HELP,SH,,,Started P&P troubleshooting,,,Apple iOS_SH_1.3.1,Apple iOS_SH_1.3,191,3,15,190.0,Positive,2025-01-27
192,DR_Smarthelp P&P - Reset Complete,Smarthelp Reset Complete,Apple iOS,SMART HELP,SH,,,Smarthelp Reset Complete,,,Apple iOS_SH_1.3.2,Apple iOS_SH_1.3,192,3,15,190.0,Positive,2025-01-27
193,DR_Smarthelp P&P - Let's schedule a technician visit,Schedule Tech,Apple iOS,SMART HELP,SH,,,Schedule Tech,,,Apple iOS_SH_1.3.3,Apple iOS_SH_1.3,193,3,15,190.0,Positive,2025-01-27
194,DR_Smarthelp P&P - Connect with a support agent,Connect with Agent,Apple iOS,SMART HELP,SH,,,Connect with Agent,,,Apple iOS_SH_1.3.4,Apple iOS_SH_1.3,194,3,15,190.0,Negative,2025-01-27
195,DR_Smarthelp P&P - Interacted with Chat Agent,Smarthelp_P&P Interacted with Chat,Apple iOS,SMART HELP,SH,,,Smarthelp_P&P Interacted with Chat,,,Apple iOS_SH_1.3.5,Apple iOS_SH_1.3,195,3,15,190.0,Negative,2025-01-27
196,DR_SmartHelp - Billing & Account Support,Clicked Billing & Account Support,Apple iOS,SMART HELP,SH,,Clicked Billing & Account Support,,,,Apple iOS_SH_1.4,Apple iOS_SH_1,196,2,15,183.0,Positive,2025-01-27
197,DR_SmartHelp - Internet Support,Clicked Internet Support,Apple iOS,SMART HELP,SH,,Clicked Internet Support,,,,Apple iOS_SH_1.5,Apple iOS_SH_1,197,2,15,183.0,Positive,2025-01-27
198,DR_SmartHelp - TV Support,Clicked TV Support,Apple iOS,SMART HELP,SH,,Clicked TV Support,,,,Apple iOS_SH_1.6,Apple iOS_SH_1,198,2,15,183.0,Positive,2025-01-27
199,DR_SmartHelp - Homelife Support,Clicked Homelife Support,Apple iOS,SMART HELP,SH,,Clicked Homelife Support,,,,Apple iOS_SH_1.7,Apple iOS_SH_1,199,2,15,183.0,Positive,2025-01-27
200,DR_SmartHelp - Agent Chat,Smarthelp_Interacted with Chat,Apple iOS,SMART HELP,SH,,Smarthelp_Interacted with Chat,,,,Apple iOS_SH_1.8,Apple iOS_SH_1,200,2,15,183.0,Negative,2025-01-27
201,DR_Support Home,Support Home Visits,Apple iOS,S UPPORT,SU,Support Home Visits,,,,,Apple iOS_SU_1,,201,1,16,,Positive,2025-01-27
202,DR_Support - Internet,Support Internet Support,Apple iOS,S UPPORT,SU,,Support Internet Support,,,,Apple iOS_SU_1.1,Apple iOS_SU_1,202,2,16,201.0,Positive,2025-01-27
203,DR_Support - Billing and Account,Billing & Account Support,Apple iOS,S UPPORT,SU,,Billing & Account Support,,,,Apple iOS_SU_1.2,Apple iOS_SU_1,203,2,16,201.0,Positive,2025-01-27
204,DR_Support - Billing,Billing Support,Apple iOS,S UPPORT,SU,,Billing Support,,,,Apple iOS_SU_1.3,Apple iOS_SU_1,204,2,16,201.0,Positive,2025-01-27
205,DR_Support - Account,Account Support,Apple iOS,S UPPORT,SU,,Account Support,,,,Apple iOS_SU_1.4,Apple iOS_SU_1,205,2,16,201.0,Positive,2025-01-27
206,DR_Support - TV,Support TV Support,Apple iOS,S UPPORT,SU,,Support TV Support,,,,Apple iOS_SU_1.5,Apple iOS_SU_1,206,2,16,201.0,Positive,2025-01-27
207,DR_Support - Homelife,Support Homelife Support,Apple iOS,S UPPORT,SU,,Support Homelife Support,,,,Apple iOS_SU_1.6,Apple iOS_SU_1,207,2,16,201.0,Positive,2025-01-27
208,DR_Support - Mobile,Support Mobile Support,Apple iOS,S UPPORT,SU,,Support Mobile Support,,,,Apple iOS_SU_1.7,Apple iOS_SU_1,208,2,16,201.0,Positive,2025-01-27
209,DR_Support - Read an Article,Read an Article,Apple iOS,S UPPORT,SU,,Read an Article,,,,Apple iOS_SU_1.8,Apple iOS_SU_1,209,2,16,201.0,Positive,2025-01-27
210,DR_Support - Search,Support Search,Apple iOS,S UPPORT,SU,,Support Search,,,,Apple iOS_SU_1.9,Apple iOS_SU_1,210,2,16,201.0,Negative,2025-01-27
211,DR_Support - Click on Exit Link,Went to External Link,Apple iOS,S UPPORT,SU,,Went to External Link,,,,Apple iOS_SU_1.10,Apple iOS_SU_1,211,2,16,201.0,Positive,2025-01-27
212,DR_Support - App Feedback,App Feedback,Apple iOS,S UPPORT,SU,,App Feedback,,,,Apple iOS_SU_1.11,Apple iOS_SU_1,212,2,16,201.0,Positive,2025-01-27
213,DR_Support - Agent chat started,Support Interacted with Chat,Apple iOS,S UPPORT,SU,,Support Interacted with Chat,,,,Apple iOS_SU_1.12,Apple iOS_SU_1,213,2,16,201.0,Negative,2025-01-27
214,DR_TSV Enrollment Home Page,Visits to TSV Home Page,Apple iOS,TWO-STEP VERIFICATION,TV,Visits to TSV Home Page,,,,,Apple iOS_TV_1,,214,1,17,,Positive,2025-01-27
215,DR_TSV | Intent to Enrollment,TSV Enrollment Page,Apple iOS,TWO-STEP VERIFICATION,TV,,TSV Enrollment Page,,,,Apple iOS_TV_1.1,Apple iOS_TV_1,215,2,17,214.0,Positive,2025-01-27
216,DR_TSV Enrollment - Success,TSV Overall Success Rate,Apple iOS,TWO-STEP VERIFICATION,TV,,TSV Overall Success Rate,,,,Apple iOS_TV_1.2,Apple iOS_TV_1,216,2,17,214.0,Positive,2025-01-27
217,DR_TSV Enrollment - Email,TSV Email Text,Apple iOS,TWO-STEP VERIFICATION,TV,TSV Email Text,,,,,Apple iOS_TV_2,,217,1,17,,Positive,2025-01-27
218,DR_TSV Enrollment - Email Success,TSV Email Success Rate,Apple iOS,TWO-STEP VERIFICATION,TV,,TSV Email Success Rate,,,,Apple iOS_TV_2.1,Apple iOS_TV_2,218,2,17,217.0,Positive,2025-01-27
219,DR_TSV Enrollment - Update,TSV Update,Apple iOS,TWO-STEP VERIFICATION,TV,,TSV Update,,,,Apple iOS_TV_2.2,Apple iOS_TV_2,219,2,17,217.0,Positive,2025-01-27
220,DR_TSV Enrollment - Server Errors,TSV Server Errors,Apple iOS,TWO-STEP VERIFICATION,TV,,TSV Server Errors,,,,Apple iOS_TV_2.3,Apple iOS_TV_2,220,2,17,217.0,Negative,2025-01-27
221,DR_TSV Enrollment - Phone text,TSV Phone Text,Apple iOS,TWO-STEP VERIFICATION,TV,TSV Phone Text,,,,,Apple iOS_TV_3,,221,1,17,,Positive,2025-01-27
222,DR_TSV Enrollment - Phone text Success,TSV Text Success Rate,Apple iOS,TWO-STEP VERIFICATION,TV,,TSV Text Success Rate,,,,Apple iOS_TV_3.1,Apple iOS_TV_3,222,2,17,221.0,Positive,2025-01-27
223,DR_TSV Enrollment - Phone call,TSV Phone Call,Apple iOS,TWO-STEP VERIFICATION,TV,TSV Phone Call,,,,,Apple iOS_TV_4,,223,1,17,,Positive,2025-01-27
224,DR_TSV Enrollment - Phone call Success,TSV Call Success Rate,Apple iOS,TWO-STEP VERIFICATION,TV,,TSV Call Success Rate,,,,Apple iOS_TV_4.1,Apple iOS_TV_4,224,2,17,223.0,Positive,2025-01-27
225,www.cox.com/residential/mobile/deals.html?sc_id=cr_mobile_app_z_coxapp_z_swrve_emb_mobile_holidays_b,,Apple iOS,U R L,URL,,,,,,,,225,1,18,,,2025-01-27
226,www.cox.com/residential/mobile/deals.html?sc_id=cr_mobile_app_z_coxapp_z_swrve_emb_mobile_holidays_2,,Apple iOS,U R L,URL,,,,,,,,226,1,18,,,2025-01-27
227,www.cox.com/mobile-shop/devices/apple?sc_id=cr_mobile_app_z_coxapp_z_swrve_emb_mobile_iphone16_ga,,Apple iOS,U R L,URL,,,,,,,,227,1,18,,,2025-01-27
228,www.cox.com/mobile-shop/check-device-compatibility.html&sc_id=cr_mobile_app_z_coxapp_z_swrve_emb_mob,,Apple iOS,U R L,URL,,,,,,,,228,1,18,,,2025-01-27
229,www.cox.com/mobile-shop/device/motorola-moto-g-play-2024_sapphire-blue?storage=64gb&sc_id=cr_mobile_,,Apple iOS,U R L,URL,,,,,,,,229,1,18,,,2025-01-27
230,www.cox.com/residential/refer-a-friend.html?&sc_id=cr_mobile_app_z_coxapp_z_swrve_emb_extole,,Apple iOS,U R L,URL,,,,,,,,230,1,18,,,2025-01-27
231,www.cox.com/mobile-shop/devices/apple&sc_id=cr_mobile_app_z_coxapp_z_swrve_emb_mobile_iphone16_PO,,Apple iOS,U R L,URL,,,,,,,,231,1,18,,,2025-01-27
232,www.cox.com/residential-shop/repackage-landing.html?sc_id=cr_mobile_app_z_coxapp_z_swrve_push_cro45,,Apple iOS,U R L,URL,,,,,,,,232,1,18,,,2025-01-27
233,www.cox.com/residential/move.html?sc_id=cr_mobile_app_z_coxapp_z_swrve_inapp,,Apple iOS,U R L,URL,,,,,,,,233,1,18,,,2025-01-27
234,www.cox.com/residential-shop/repackage-landing.html?sc_id=cr_mobile_app_z_coxapp_z_swrve_push_cro00,,Apple iOS,U R L,URL,,,,,,,,234,1,18,,,2025-01-27
235,www.cox.com/residential-shop/repackage-landing.html?sc_id=cr_mobile_app_z_coxapp_z_swrve_push_cro21,,Apple iOS,U R L,URL,,,,,,,,235,1,18,,,2025-01-27
236,www.cox.com/mobile-shop/devices?brand=apple?intercept=false&sc_id=cr_mobile_app_z_coxapp_z_swrve_emb,,Apple iOS,U R L,URL,,,,,,,,236,1,18,,,2025-01-27
237,DR_Visits to Billing Home,Billing Section Visits,Google Android,BIL LING,BL,Billing Section Visits,,,,,Google Android_BL_1,,1,1,1,,Positive,2025-01-27
238,DR_Billing Make a Payment,Make Payments,Google Android,BIL LING,BL,,Make Payments,,,,Google Android_BL_1.1,Google Android_BL_1,2,2,1,237.0,Positive,2025-01-27
239,DR_Payment Submit,Payment Submit,Google Android,BIL LING,BL,,Payment Submit,,,,Google Android_BL_1.2,Google Android_BL_1,3,2,1,237.0,Positive,2025-01-27
