Channel Group,Channel,Sub Channel,Date,Ratio String
Online,Cox.com,Cox.com,2019-01-31,0.7159912456605030
Online,Cox.com,Cox.com,2019-02-28,0.7254137749053230
Online,Cox.com,Cox.com,2019-03-31,0.7483019176333340
Online,Cox.com,Cox.com,2019-04-30,0.7485177583966640
Online,Cox.com,Cox.com,2019-05-31,0.7609421777379290
Online,Cox.com,Cox.com,2019-06-30,0.7605632007519390
Online,Cox.com,Cox.com,2019-07-31,0.7358365432017410
Online,Cox.com,Cox.com,2019-08-31,0.7536191683178190
Online,Cox.com,Cox.com,2019-09-30,0.7686256469213650
Online,Cox.com,Cox.com,2019-10-31,0.7540995757528640
Online,Cox.com,Cox.com,2019-11-30,0.7503259091753850
Online,Cox.com,Cox.com,2019-12-31,0.7400442081745830
Online,eTail,3rd Party - eTailer,2019-01-31,0.2068493445624290
Online,eTail,3rd Party - eTailer,2019-02-28,0.1972268371062630
Online,eTail,3rd Party - eTailer,2019-03-31,0.1800548224805370
Online,eTail,3rd Party - eTailer,2019-04-30,0.1842758994269030
Online,eTail,3rd Party - eTailer,2019-05-31,0.1747915116372870
Online,eTail,3rd Party - eTailer,2019-06-30,0.1659498082743250
Online,eTail,3rd Party - eTailer,2019-07-31,0.1764937332901650
Online,eTail,3rd Party - eTailer,2019-08-31,0.1697814107396210
Online,eTail,3rd Party - eTailer,2019-09-30,0.1603118400557580
Online,eTail,3rd Party - eTailer,2019-10-31,0.1705012365957250
Online,eTail,3rd Party - eTailer,2019-11-30,0.1784152346444400
Online,eTail,3rd Party - eTailer,2019-12-31,0.1945561161633990
Online,eTail,3rd Party - Affinity,2019-01-31,0.0771594097770671
Online,eTail,3rd Party - Affinity,2019-02-28,0.0773593879884144
Online,eTail,3rd Party - Affinity,2019-03-31,0.0716432598861284
Online,eTail,3rd Party - Affinity,2019-04-30,0.0672063421764333
Online,eTail,3rd Party - Affinity,2019-05-31,0.0642663106247837
Online,eTail,3rd Party - Affinity,2019-06-30,0.0734869909737359
Online,eTail,3rd Party - Affinity,2019-07-31,0.0876697235080934
Online,eTail,3rd Party - Affinity,2019-08-31,0.0765994209425599
Online,eTail,3rd Party - Affinity,2019-09-30,0.0710625130228770
Online,eTail,3rd Party - Affinity,2019-10-31,0.0753991876514109
Online,eTail,3rd Party - Affinity,2019-11-30,0.0712588561801748
Online,eTail,3rd Party - Affinity,2019-12-31,0.0653996756620172
Online,Cox.com,Cox.com,2020-01-31,0.7159912456605030
Online,Cox.com,Cox.com,2020-02-29,0.7254137749053230
Online,Cox.com,Cox.com,2020-03-31,0.7483019176333340
Online,Cox.com,Cox.com,2020-04-30,0.7485177583966640
Online,Cox.com,Cox.com,2020-05-31,0.7609421777379290
Online,Cox.com,Cox.com,2020-06-30,0.7605632007519390
Online,Cox.com,Cox.com,2020-07-31,0.7358365432017410
Online,Cox.com,Cox.com,2020-08-31,0.7536191683178190
Online,Cox.com,Cox.com,2020-09-30,0.7686256469213650
Online,Cox.com,Cox.com,2020-10-31,0.7540995757528640
Online,Cox.com,Cox.com,2020-11-30,0.7503259091753850
Online,Cox.com,Cox.com,2020-12-31,0.7400442081745830
Online,eTail,3rd Party - eTailer,2020-01-31,0.2068493445624290
Online,eTail,3rd Party - eTailer,2020-02-29,0.1972268371062630
Online,eTail,3rd Party - eTailer,2020-03-31,0.1800548224805370
Online,eTail,3rd Party - eTailer,2020-04-30,0.1842758994269030
Online,eTail,3rd Party - eTailer,2020-05-31,0.1747915116372870
Online,eTail,3rd Party - eTailer,2020-06-30,0.1659498082743250
Online,eTail,3rd Party - eTailer,2020-07-31,0.1764937332901650
Online,eTail,3rd Party - eTailer,2020-08-31,0.1697814107396210
Online,eTail,3rd Party - eTailer,2020-09-30,0.1603118400557580
Online,eTail,3rd Party - eTailer,2020-10-31,0.1705012365957250
Online,eTail,3rd Party - eTailer,2020-11-30,0.1784152346444400
Online,eTail,3rd Party - eTailer,2020-12-31,0.1945561161633990
Online,eTail,3rd Party - Affinity,2020-01-31,0.0771594097770671
Online,eTail,3rd Party - Affinity,2020-02-29,0.0773593879884144
Online,eTail,3rd Party - Affinity,2020-03-31,0.0716432598861284
Online,eTail,3rd Party - Affinity,2020-04-30,0.0672063421764333
Online,eTail,3rd Party - Affinity,2020-05-31,0.0642663106247837
Online,eTail,3rd Party - Affinity,2020-06-30,0.0734869909737359
Online,eTail,3rd Party - Affinity,2020-07-31,0.0876697235080934
Online,eTail,3rd Party - Affinity,2020-08-31,0.0765994209425599
Online,eTail,3rd Party - Affinity,2020-09-30,0.0710625130228770
Online,eTail,3rd Party - Affinity,2020-10-31,0.0753991876514109
Online,eTail,3rd Party - Affinity,2020-11-30,0.0712588561801748
Online,eTail,3rd Party - Affinity,2020-12-31,0.0653996756620172
Online,Cox.com,Cox.com,2021-01-31,0.773
Online,Cox.com,Cox.com,2021-02-28,0.773
Online,Cox.com,Cox.com,2021-03-31,0.773
Online,Cox.com,Cox.com,2021-04-30,0.773
Online,Cox.com,Cox.com,2021-05-31,0.773
Online,Cox.com,Cox.com,2021-06-30,0.773
Online,Cox.com,Cox.com,2021-07-31,0.773
Online,Cox.com,Cox.com,2021-08-31,0.773
Online,Cox.com,Cox.com,2021-09-30,0.773
Online,Cox.com,Cox.com,2021-10-31,0.773
Online,Cox.com,Cox.com,2021-11-30,0.773
Online,Cox.com,Cox.com,2021-12-31,0.773
Online,eTail,3rd Party - eTailer,2021-01-31,0.16
Online,eTail,3rd Party - eTailer,2021-02-28,0.16
Online,eTail,3rd Party - eTailer,2021-03-31,0.16
Online,eTail,3rd Party - eTailer,2021-04-30,0.16
Online,eTail,3rd Party - eTailer,2021-05-31,0.16
Online,eTail,3rd Party - eTailer,2021-06-30,0.16
Online,eTail,3rd Party - eTailer,2021-07-31,0.16
Online,eTail,3rd Party - eTailer,2021-08-31,0.16
Online,eTail,3rd Party - eTailer,2021-09-30,0.16
Online,eTail,3rd Party - eTailer,2021-10-31,0.16
Online,eTail,3rd Party - eTailer,2021-11-30,0.16
Online,eTail,3rd Party - eTailer,2021-12-31,0.16
Online,eTail,3rd Party - Affinity,2021-01-31,0.067
Online,eTail,3rd Party - Affinity,2021-02-28,0.067
Online,eTail,3rd Party - Affinity,2021-03-31,0.067
Online,eTail,3rd Party - Affinity,2021-04-30,0.067
Online,eTail,3rd Party - Affinity,2021-05-31,0.067
Online,eTail,3rd Party - Affinity,2021-06-30,0.067
Online,eTail,3rd Party - Affinity,2021-07-31,0.067
Online,eTail,3rd Party - Affinity,2021-08-31,0.067
Online,eTail,3rd Party - Affinity,2021-09-30,0.067
Online,eTail,3rd Party - Affinity,2021-10-31,0.067
Online,eTail,3rd Party - Affinity,2021-11-30,0.067
Online,eTail,3rd Party - Affinity,2021-12-31,0.067
Online,Cox.com,Cox.com,2022-01-31,0.773
Online,Cox.com,Cox.com,2022-02-28,0.773
Online,Cox.com,Cox.com,2022-03-31,0.773
Online,Cox.com,Cox.com,2022-04-30,0.773
Online,Cox.com,Cox.com,2022-05-31,0.773
Online,Cox.com,Cox.com,2022-06-30,0.773
Online,Cox.com,Cox.com,2022-07-31,0.773
Online,Cox.com,Cox.com,2022-08-31,0.773
Online,Cox.com,Cox.com,2022-09-30,0.773
Online,Cox.com,Cox.com,2022-10-31,0.773
Online,Cox.com,Cox.com,2022-11-30,0.773
Online,Cox.com,Cox.com,2022-12-31,0.773
Online,eTail,3rd Party - eTailer,2022-01-31,0.16
Online,eTail,3rd Party - eTailer,2022-02-28,0.16
Online,eTail,3rd Party - eTailer,2022-03-31,0.16
Online,eTail,3rd Party - eTailer,2022-04-30,0.16
Online,eTail,3rd Party - eTailer,2022-05-31,0.16
Online,eTail,3rd Party - eTailer,2022-06-30,0.16
Online,eTail,3rd Party - eTailer,2022-07-31,0.16
Online,eTail,3rd Party - eTailer,2022-08-31,0.16
Online,eTail,3rd Party - eTailer,2022-09-30,0.16
Online,eTail,3rd Party - eTailer,2022-10-31,0.16
Online,eTail,3rd Party - eTailer,2022-11-30,0.16
Online,eTail,3rd Party - eTailer,2022-12-31,0.16
Online,eTail,3rd Party - Affinity,2022-01-31,0.067
Online,eTail,3rd Party - Affinity,2022-02-28,0.067
Online,eTail,3rd Party - Affinity,2022-03-31,0.067
Online,eTail,3rd Party - Affinity,2022-04-30,0.067
Online,eTail,3rd Party - Affinity,2022-05-31,0.067
Online,eTail,3rd Party - Affinity,2022-06-30,0.067
Online,eTail,3rd Party - Affinity,2022-07-31,0.067
Online,eTail,3rd Party - Affinity,2022-08-31,0.067
Online,eTail,3rd Party - Affinity,2022-09-30,0.067
Online,eTail,3rd Party - Affinity,2022-10-31,0.067
Online,eTail,3rd Party - Affinity,2022-11-30,0.067
Online,eTail,3rd Party - Affinity,2022-12-31,0.067
