metric_id,metrics,operating_system_type,display_names,feature_name,unique_identifier,level_1,level_2,level_3,level_4,level_5,hierarchy_id,parent_id_old,metric_sequence_num,level_no,feature_id,parent_id,create_dt
1,DR_Visits to Billing Home,Apple iOS,Billing Section Visits,BIL LING,BL,Billing Section Visits,,,,,Apple iOS_BL_1,,1,1,1,,1/3/2025
2,DR_Billing Make a Payment,Apple iOS,Make Payments,BIL LING,BL,,Make Payments,,,,Apple iOS_BL_1.1,Apple iOS_BL_1,2,2,1,1,1/3/2025
3,DR_Client Errors on Make Payment,Apple iOS,Client Errors on Payment Page,BIL LING,BL,,,Client Errors on Payment Page,,,Apple iOS_BL_1.1.1,Apple iOS_BL_1.1,3,3,1,2,1/3/2025
4,DR_Server Errors on Make Payment,Apple iOS,Server Errors on Payment Page,BIL LING,BL,,,Server Errors on Payment Page,,,Apple iOS_BL_1.1.2,Apple iOS_BL_1.1,4,3,1,2,1/3/2025
5,DR_Payment Submit,Apple iOS,Payment Submit,BIL LING,BL,,Payment Submit,,,,Apple iOS_BL_1.2,Apple iOS_BL_1,5,2,1,1,1/3/2025
6,DR_Payments,Apple iOS,Payment Success Rate,BIL LING,BL,,,Payment Success Rate,,,Apple iOS_BL_1.2.1,Apple iOS_BL_1.2,6,3,1,5,1/3/2025
7,DR_Promise to Pay,Apple iOS,Promise to Pay - Linkout,BIL LING,BL,,Promise to Pay - Linkout,,,,Apple iOS_BL_1.3,Apple iOS_BL_1,7,2,1,1,1/3/2025
8,DR_Promise to Pay (Native),Apple iOS,Promise to Pay - Native,BIL LING,BL,,Promise to Pay - Native,,,,Apple iOS_BL_1.4,Apple iOS_BL_1,8,2,1,1,1/3/2025
9,DR_CoxApp | Billing - Additional time to pay (Link out),Apple iOS,Additional time to pay - Linkout,BIL LING,BL,,,Additional time to pay - Linkout,,,Apple iOS_BL_1.4.1,Apple iOS_BL_1.4,9,3,1,8,1/3/2025
10,DR_CoxApp | Billing - Future date payment (Link out),Apple iOS,Future date payment - Linkout,BIL LING,BL,,,Future date payment - Linkout,,,Apple iOS_BL_1.4.2,Apple iOS_BL_1.4,10,3,1,8,1/3/2025
11,DR_Billing - View Bill Details,Apple iOS,Bill Downloads,BIL LING,BL,,Bill Downloads,,,,Apple iOS_BL_1.5,Apple iOS_BL_1,11,2,1,1,1/3/2025
12,DR_Billing - Activity & Statements,Apple iOS,Activity & Statements,BIL LING,BL,,Activity & Statements,,,,Apple iOS_BL_1.6,Apple iOS_BL_1,12,2,1,1,1/3/2025
13,DR_Billing - Automatic Payments,Apple iOS,Easy Pay Enrollments,BIL LING,BL,,Easy Pay Enrollments,,,,Apple iOS_BL_1.7,Apple iOS_BL_1,13,2,1,1,1/3/2025
14,DR_Billing - Manage Payment Methods,Apple iOS,Payment Method Changes,BIL LING,BL,,Payment Method Changes,,,,Apple iOS_BL_1.8,Apple iOS_BL_1,14,2,1,1,1/3/2025
15,DR_Billing - Agreements & Discounts,Apple iOS,Agreement & Discounts,BIL LING,BL,,Agreement & Discounts,,,,Apple iOS_BL_1.9,Apple iOS_BL_1,15,2,1,1,1/3/2025
16,DR_Billing - Bill Delivery,Apple iOS,Bill Delivery Options,BIL LING,BL,,Bill Delivery Options,,,,Apple iOS_BL_1.10,Apple iOS_BL_1,16,2,1,1,1/3/2025
17,DR_Billing - Edit Billing Address,Apple iOS,Address Changes,BIL LING,BL,,Address Changes,,,,Apple iOS_BL_1.11,Apple iOS_BL_1,17,2,1,1,1/3/2025
18,DR_Billing - Move My Service,Apple iOS,Move Service,BIL LING,BL,,Move Service,,,,Apple iOS_BL_1.12,Apple iOS_BL_1,18,2,1,1,1/3/2025
19,DR_Billing visits to chat,Apple iOS,Billing_Interacted with chat,BIL LING,BL,,Billing_Interacted with chat,,,,Apple iOS_BL_1.13,Apple iOS_BL_1,19,2,1,1,1/3/2025
20,DR_Wireless Service,Apple iOS,Visits from 'Cox Mobile' users,COX MOBILE,CM,Visits from 'Cox Mobile' users,,,,,Apple iOS_CM_1,,20,1,2,,1/3/2025
21,DR_Mymobile HomePage Visits,Apple iOS,Coxmob Line Detail Page,COX MOBILE,CM,,Coxmob Line Detail Page,,,,Apple iOS_CM_1.1,Apple iOS_CM_1,21,2,2,20,1/3/2025
22,DR_Mobile Lock Enabled,Apple iOS,,COX MOBILE,CM,,,,,,,,22,1,2,,1/3/2025
23,DR_Mobile Lock Disabled,Apple iOS,,COX MOBILE,CM,,,,,,,,23,1,2,,1/3/2025
24,DR_Change Status Exit link,Apple iOS,Coxmob Change Status External Link,COX MOBILE,CM,,,Coxmob Change Status External Link,,,Apple iOS_CM_1.1.1,Apple iOS_CM_1.1,24,3,2,21,1/3/2025
25,DR_Add a Line,Apple iOS,Coxmob Add a Line,COX MOBILE,CM,,,Coxmob Add a Line,,,Apple iOS_CM_1.1.2,Apple iOS_CM_1.1,25,3,2,21,1/3/2025
26,DR_Change your Plan,Apple iOS,Coxmob Change  Plan - linkout,COX MOBILE,CM,,,Coxmob Change  Plan - linkout,,,Apple iOS_CM_1.1.3,Apple iOS_CM_1.1,26,3,2,21,1/3/2025
27,DR_Change Plan - New,Apple iOS,Coxmob Change Plan - Native,COX MOBILE,CM,,,Coxmob Change Plan - Native,,,Apple iOS_CM_1.1.4,Apple iOS_CM_1.1,27,3,2,21,1/3/2025
28,DR_Change plan - Account Restrictions,Apple iOS,Coxmob Account Restrictions,COX MOBILE,CM,,,,Coxmob Account Restrictions,,Apple iOS_CM_1.1.4.1,Apple iOS_CM_1.1.4,28,4,2,27,1/3/2025
29,DR_Change plan Confirmation,Apple iOS,Coxmob Plan Purchased,COX MOBILE,CM,,,,Coxmob Plan Purchased,,Apple iOS_CM_1.1.4.2,Apple iOS_CM_1.1.4,29,4,2,27,1/3/2025
30,DR_Change Plan - Pay as Gig,Apple iOS,Coxmob Gig Plan,COX MOBILE,CM,,,,,Coxmob Gig Plan,Apple iOS_CM_1.1.4.2.1,Apple iOS_CM_1.1.4.2,30,5,2,29,1/3/2025
31,DR_Change Plan - Unlimited,Apple iOS,Coxmob Unlimited Plan,COX MOBILE,CM,,,,,Coxmob Unlimited Plan,Apple iOS_CM_1.1.4.2.2,Apple iOS_CM_1.1.4.2,31,5,2,29,1/3/2025
32,DR_Welcome Guide,Apple iOS,Coxmob Welcome Guide,COX MOBILE,CM,,,Coxmob Welcome Guide,,,Apple iOS_CM_1.1.5,Apple iOS_CM_1.1,32,3,2,21,1/3/2025
33,DR_Device Payment Plan,Apple iOS,Coxmob Device Payment Plan,COX MOBILE,CM,,,Coxmob Device Payment Plan,,,Apple iOS_CM_1.1.6,Apple iOS_CM_1.1,33,3,2,21,1/3/2025
34,DR_Insurance Claim,Apple iOS,File a Claim,COX MOBILE,CM,,,File a Claim,,,Apple iOS_CM_1.1.7,Apple iOS_CM_1.1,34,3,2,21,1/3/2025
35,DR_Opted for Pay as you Gig Plan,Apple iOS,Coxmob Pay as you Gig,COX MOBILE,CM,,,Coxmob Pay as you Gig,,,Apple iOS_CM_1.1.8,Apple iOS_CM_1.1,35,3,2,21,1/3/2025
36,DR_Opted for Gig Unlimited Plan,Apple iOS,Coxmob Gig Unlimited Plan,COX MOBILE,CM,,Coxmob Gig Unlimited Plan,,,,Apple iOS_CM_1.2,Apple iOS_CM_1,36,2,2,20,1/3/2025
37,DR_Mobile Billing Home,Apple iOS,Coxmob Billing Home,COX MOBILE,CM,,Coxmob Billing Home,,,,Apple iOS_CM_1.3,Apple iOS_CM_1,37,2,2,20,1/3/2025
38,DR_Mobile Billing - Additional Payment,Apple iOS,Coxmob Make Additional Payment,COX MOBILE,CM,,Coxmob Make Additional Payment,,,,Apple iOS_CM_1.4,Apple iOS_CM_1,38,2,2,20,1/3/2025
39,DR_Mobile Billing - Payment Method,Apple iOS,Coxmob Payment Method Changes,COX MOBILE,CM,,Coxmob Payment Method Changes,,,,Apple iOS_CM_1.5,Apple iOS_CM_1,39,2,2,20,1/3/2025
40,DR_Mobile Billing - Activity & Statements,Apple iOS,Coxmob Activity & Statements,COX MOBILE,CM,,Coxmob Activity & Statements,,,,Apple iOS_CM_1.6,Apple iOS_CM_1,40,2,2,20,1/3/2025
41,DR_Mobile Billing - Easypay Confirmation,Apple iOS,Coxmob Easypay Enrollment,COX MOBILE,CM,,Coxmob Easypay Enrollment,,,,Apple iOS_CM_1.7,Apple iOS_CM_1,41,2,2,20,1/3/2025
42,DR_Mobile Billing - Bill Delivery Confirmation,Apple iOS,Coxmob Bill Delivery Changes,COX MOBILE,CM,,Coxmob Bill Delivery Changes,,,,Apple iOS_CM_1.8,Apple iOS_CM_1,42,2,2,20,1/3/2025
43,DR_Wireless Support,Apple iOS,Coxmob Support Section,COX MOBILE,CM,,Coxmob Support Section,,,,Apple iOS_CM_1.9,Apple iOS_CM_1,43,2,2,20,1/3/2025
44,DR_Total Data Usage Visits,Apple iOS,Total Data Usage Visits,DATA USAGE,DU,Total Data Usage Visits,,,,,Apple iOS_DU_1,,44,1,3,,1/3/2025
45,DR_Data Plan upgrade,Apple iOS,Data Plan Upgrade,DATA USAGE,DU,,Data Plan Upgrade,,,,Apple iOS_DU_1.1,Apple iOS_DU_1,45,2,3,44,1/3/2025
46,DR_Data Usage Learn More,Apple iOS,Learn More,DATA USAGE,DU,,Learn More,,,,Apple iOS_DU_1.2,Apple iOS_DU_1,46,2,3,44,1/3/2025
47,DR_Data Usage Courtesy Credits,Apple iOS,Courtesy Credit,DATA USAGE,DU,,Courtesy Credit,,,,Apple iOS_DU_1.3,Apple iOS_DU_1,47,2,3,44,1/3/2025
48,DR_Total Data Usage >=75%,Apple iOS,Data usage >=75%,DATA USAGE,DU,,Data usage >=75%,,,,Apple iOS_DU_1.4,Apple iOS_DU_1,48,2,3,44,1/3/2025
49,DR_Total Data Usage >=100%,Apple iOS,Data usage >=100%,DATA USAGE,DU,,Data usage >=100%,,,,Apple iOS_DU_1.5,Apple iOS_DU_1,49,2,3,44,1/3/2025
50,DR_Data Usage - Agent Chat Started,Apple iOS,Data_usage Interacted with Chat,DATA USAGE,DU,,Data_usage Interacted with Chat,,,,Apple iOS_DU_1.6,Apple iOS_DU_1,50,2,3,44,1/3/2025
51,DR_Direct Ecomm Visits Traffic from to Cox.com,Apple iOS,Total Visits from web ecomm,E COMMERCE,EC,,,,,,,,51,1,4,,1/3/2025
52,DR_Direct Ecomm order Traffic sent from cox.com,Apple iOS,Total Orders from web ecomm,E COMMERCE,EC,,,,,,,,52,1,4,,1/3/2025
53,DR_Direct Ecomm Traffic sent from App to cox.com,Apple iOS,Visits sent from app to cox.com,E COMMERCE,EC,Visits sent from app to cox.com,,,,,Apple iOS_EC_1,,53,1,4,,1/3/2025
54,DR_Direct Ecomm order Traffic sent from App to cox.com,Apple iOS,Orders generated,E COMMERCE,EC,,,,,,,,54,1,4,,1/3/2025
55,DR_Data Plan Upgrade Ecomm Traffic sent from App to cox.com,Apple iOS,Data Usage,E COMMERCE,EC,,Data Usage,,,,Apple iOS_EC_1.1,Apple iOS_EC_1,55,2,4,53,1/3/2025
56,DR_Service Plan Upgrade Ecomm Traffic sent from App to cox.com,Apple iOS,Plan Changes,E COMMERCE,EC,,Plan Changes,,,,Apple iOS_EC_1.2,Apple iOS_EC_1,56,2,4,53,1/3/2025
57,DR_CRO Ecomm Traffic sent from App to cox.com,Apple iOS,CRO,E COMMERCE,EC,,CRO,,,,Apple iOS_EC_1.3,Apple iOS_EC_1,57,2,4,53,1/3/2025
58,DR_Transfer Ecomm Traffic sent from App to cox.com,Apple iOS,Transfer,E COMMERCE,EC,,Transfer,,,,Apple iOS_EC_1.4,Apple iOS_EC_1,58,2,4,53,1/3/2025
59,DR_Visits where One EC Card was shown,Apple iOS,Easy Connect Eligible Visits,EASY CON NECT,ECN,Easy Connect Eligible Visits,,,,,Apple iOS_ECN_1,,59,1,5,,1/3/2025
60,DR_EC Flow>Success,Apple iOS,Overall Success,EASY CON NECT,ECN,,Overall Success,,,,Apple iOS_ECN_1.1,Apple iOS_ECN_1,60,2,5,59,1/3/2025
61,DR_EC>Failure,Apple iOS,Overall Failure,EASY CON NECT,ECN,,Overall Failure,,,,Apple iOS_ECN_1.2,Apple iOS_ECN_1,61,2,5,59,1/3/2025
62,DR_EC Flow>Timeout,Apple iOS,Overall Timeout,EASY CON NECT,ECN,,Overall Timeout,,,,Apple iOS_ECN_1.3,Apple iOS_ECN_1,62,2,5,59,1/3/2025
63,DR_EC>No Result,Apple iOS,Overall No Result,EASY CON NECT,ECN,,Overall No Result,,,,Apple iOS_ECN_1.4,Apple iOS_ECN_1,63,2,5,59,1/3/2025
64,DR_Easy Connect - Started,Apple iOS,Started the Flow,EASY CON NECT,ECN,,Started the Flow,,,,Apple iOS_ECN_1.5,Apple iOS_ECN_1,64,2,5,59,1/3/2025
65,DR_Easy Connect Started - Success,Apple iOS,Success,EASY CON NECT,ECN,,,Success,,,Apple iOS_ECN_1.5.1,Apple iOS_ECN_1.5,65,3,5,64,1/3/2025
66,DR_Easy Connect Started - Failure,Apple iOS,Failure,EASY CON NECT,ECN,,,Failure,,,Apple iOS_ECN_1.5.2,Apple iOS_ECN_1.5,66,3,5,64,1/3/2025
67,DR_Easy Connect Started - Timeout,Apple iOS,Timeout,EASY CON NECT,ECN,,,Timeout,,,Apple iOS_ECN_1.5.3,Apple iOS_ECN_1.5,67,3,5,64,1/3/2025
68,DR_Easy Connect Started - No Result,Apple iOS,No Result,EASY CON NECT,ECN,,,No Result,,,Apple iOS_ECN_1.5.4,Apple iOS_ECN_1.5,68,3,5,64,1/3/2025
69,DR_Easy Connect - Started Agent Chat,Apple iOS,Easyconnect_Interacted with Chat,EASY CON NECT,ECN,,Easyconnect_Interacted with Chat,,,,Apple iOS_ECN_1.6,Apple iOS_ECN_1,69,2,5,59,1/3/2025
70,DR_Visits who did not Start EC Flow,Apple iOS,Did Not Start the Flow,EASY CON NECT,ECN,,Did Not Start the Flow,,,,Apple iOS_ECN_1.7,Apple iOS_ECN_1,70,2,5,59,1/3/2025
71,DR_Visits who did not Start EC Flow - Success,Apple iOS,Did_not Success,EASY CON NECT,ECN,,,Did_not Success,,,Apple iOS_ECN_1.7.1,Apple iOS_ECN_1.7,71,3,5,70,1/3/2025
72,DR_Visits who did not Start EC Flow - Failure,Apple iOS,Did_not Failure,EASY CON NECT,ECN,,,Did_not Failure,,,Apple iOS_ECN_1.7.2,Apple iOS_ECN_1.7,72,3,5,70,1/3/2025
73,DR_Visits who did not Start EC Flow - No Result,Apple iOS,Did_not No Result,EASY CON NECT,ECN,,,Did_not No Result,,,Apple iOS_ECN_1.7.3,Apple iOS_ECN_1.7,73,3,5,70,1/3/2025
74,DR_Easy Connect - Self install success,Apple iOS,,EASY CON NECT,ECN,,,,,,,,74,1,5,,1/3/2025
75,DR_Easy Connect - Self install Timeout,Apple iOS,,EASY CON NECT,ECN,,,,,,,,75,1,5,,1/3/2025
76,cancel,Apple iOS,,KEY WORDS,KW,,,,,,,,76,1,6,,1/3/2025
77,cancel service,Apple iOS,,KEY WORDS,KW,,,,,,,,77,1,6,,1/3/2025
78,outage,Apple iOS,,KEY WORDS,KW,,,,,,,,78,1,6,,1/3/2025
79,bill,Apple iOS,,KEY WORDS,KW,,,,,,,,79,1,6,,1/3/2025
80,pay bill,Apple iOS,,KEY WORDS,KW,,,,,,,,80,1,6,,1/3/2025
81,modem,Apple iOS,,KEY WORDS,KW,,,,,,,,81,1,6,,1/3/2025
82,billing,Apple iOS,,KEY WORDS,KW,,,,,,,,82,1,6,,1/3/2025
83,Setup,Apple iOS,,KEY WORDS,KW,,,,,,,,83,1,6,,1/3/2025
84,new modem,Apple iOS,,KEY WORDS,KW,,,,,,,,84,1,6,,1/3/2025
85,set up,Apple iOS,,KEY WORDS,KW,,,,,,,,85,1,6,,1/3/2025
86,speed test,Apple iOS,,KEY WORDS,KW,,,,,,,,86,1,6,,1/3/2025
87,phone number,Apple iOS,,KEY WORDS,KW,,,,,,,,87,1,6,,1/3/2025
88,contact,Apple iOS,,KEY WORDS,KW,,,,,,,,88,1,6,,1/3/2025
89,call,Apple iOS,,KEY WORDS,KW,,,,,,,,89,1,6,,1/3/2025
90,outages,Apple iOS,,KEY WORDS,KW,,,,,,,,90,1,6,,1/3/2025
91,outage map,Apple iOS,,KEY WORDS,KW,,,,,,,,91,1,6,,1/3/2025
92,password,Apple iOS,,KEY WORDS,KW,,,,,,,,92,1,6,,1/3/2025
93,disconnect,Apple iOS,,KEY WORDS,KW,,,,,,,,93,1,6,,1/3/2025
94,customer service,Apple iOS,,KEY WORDS,KW,,,,,,,,94,1,6,,1/3/2025
95,install,Apple iOS,,KEY WORDS,KW,,,,,,,,95,1,6,,1/3/2025
96,DR_Login Page Visits,Apple iOS,Login Page Visits,LOG IN,LI,Login Page Visits,,,,,Apple iOS_LI_1,,96,1,7,,1/3/2025
97,DR_Successful logins,Apple iOS,Login Success Rate,LOG IN,LI,,Login Success Rate,,,,Apple iOS_LI_1.1,Apple iOS_LI_1,97,2,7,96,1/3/2025
98,DR_Auto Logins,Apple iOS,Share of Auto Login (Remember/Biometrics),LOG IN,LI,,,Share of Auto Login (Remember/Biometrics),,,Apple iOS_LI_1.1.1,Apple iOS_LI_1.1,98,3,7,97,1/3/2025
99,DR_Clicks to MFA Verification,Apple iOS,with TSV,LOG IN,LI,,with TSV,,,,Apple iOS_LI_1.2,Apple iOS_LI_1,99,2,7,96,1/3/2025
100,DR_Clicks on Forgot User ID,Apple iOS,User ID Recovery,LOG IN,LI,,User ID Recovery,,,,Apple iOS_LI_1.3,Apple iOS_LI_1,100,2,7,96,1/3/2025
101,Clicks on Forgot Password,Apple iOS,Password Reset,LOG IN,LI,,Password Reset,,,,Apple iOS_LI_1.4,Apple iOS_LI_1,101,2,7,96,1/3/2025
102,DR_Need to Register,Apple iOS,Registration,LOG IN,LI,,Registration,,,,Apple iOS_LI_1.5,Apple iOS_LI_1,102,2,7,96,1/3/2025
103,DR_Notification status Exists,Apple iOS,Notifi_center Visits with Bell icon,NOTIFICATION CENTER,NC,Notifi_center Visits with Bell icon,,,,,Apple iOS_NC_1,,103,1,8,,1/3/2025
104,DR_Notification received visits,Apple iOS,Notifi_center Visits with new notifications,NOTIFICATION CENTER,NC,,Notifi_center Visits with new notifications,,,,Apple iOS_NC_1.1,Apple iOS_NC_1,104,2,8,103,1/3/2025
105,DR_Notification page Visits,Apple iOS,Notifi_center Clicked bell with new notifications,NOTIFICATION CENTER,NC,,,Notifi_center Clicked bell with new notifications,,,Apple iOS_NC_1.1.1,Apple iOS_NC_1.1,105,3,8,104,1/3/2025
106,DR_Notification Viewed with new notifications,Apple iOS,Notifi_center Viewed,NOTIFICATION CENTER,NC,,,,Notifi_center Viewed,,Apple iOS_NC_1.1.1.1,Apple iOS_NC_1.1.1,106,4,8,105,1/3/2025
107,DR_Notification Declined with new notifications,Apple iOS,Notifi_center Declined,NOTIFICATION CENTER,NC,,,,Notifi_center Declined,,Apple iOS_NC_1.1.1.2,Apple iOS_NC_1.1.1,107,4,8,105,1/3/2025
108,DR_Notification accepted with new notifications,Apple iOS,Notifi_center Accepted,NOTIFICATION CENTER,NC,,,,Notifi_center Accepted,,Apple iOS_NC_1.1.1.3,Apple iOS_NC_1.1.1,108,4,8,105,1/3/2025
109,DR_No action on new notifications,Apple iOS,Notifi_center No Action,NOTIFICATION CENTER,NC,,,,Notifi_center No Action,,Apple iOS_NC_1.1.1.4,Apple iOS_NC_1.1.1,109,4,8,105,1/3/2025
110,DR_Notifications not received visits,Apple iOS,Notifi_center Visits with no new notifications,NOTIFICATION CENTER,NC,,Notifi_center Visits with no new notifications,,,,Apple iOS_NC_1.2,Apple iOS_NC_1,110,2,8,103,1/3/2025
111,DR_Notification Viewed with no new notifications,Apple iOS,with no new notifi Viewed,NOTIFICATION CENTER,NC,,,,with no new notifi Viewed,,Apple iOS_NC_1.2.0.1,Apple iOS_NC_1.2.0,111,4,8,,1/3/2025
112,DR_Notification Declined with no new notification,Apple iOS,with no new notifi Declined,NOTIFICATION CENTER,NC,,,,with no new notifi Declined,,Apple iOS_NC_1.2.0.2,Apple iOS_NC_1.2.0,112,4,8,,1/3/2025
113,DR_Notification accepted with no new notifications,Apple iOS,with no new notifi Accepted,NOTIFICATION CENTER,NC,,,,with no new notifi Accepted,,Apple iOS_NC_1.2.0.3,Apple iOS_NC_1.2.0,113,4,8,,1/3/2025
114,DR_No action on no new notifications,Apple iOS,with no new notifi No Action,NOTIFICATION CENTER,NC,,,,with no new notifi No Action,,Apple iOS_NC_1.2.0.4,Apple iOS_NC_1.2.0,114,4,8,,1/3/2025
115,DR_Visits,Apple iOS,Visits,OVER ALL,OA,Visits,,,,,Apple iOS_OA_1,,115,1,9,,1/3/2025
116,Unique Visitors,Apple iOS,Visitors,OVER ALL,OA,,,,,,,,116,1,9,,1/3/2025
117,Page Views,Apple iOS,Page Views,OVER ALL,OA,,,,,,,,117,1,9,,1/3/2025
118,Average Time Spent on Page,Apple iOS,Average Time Spent (mins),OVER ALL,OA,,,,,,,,118,1,9,,1/3/2025
119,DR_New Visitors,Apple iOS,New Visitors,OVER ALL,OA,,New Visitors,,,,Apple iOS_OA_1.1,Apple iOS_OA_1,119,2,9,115,1/3/2025
120,DR_Server Errors,Apple iOS,Server Errors,OVER ALL,OA,,Server Errors,,,,Apple iOS_OA_1.2,Apple iOS_OA_1,120,2,9,115,1/3/2025
121,DR_Overall Chat,Apple iOS,Visits to Chat,OVER ALL,OA,,Visits to Chat,,,,Apple iOS_OA_1.3,Apple iOS_OA_1,121,2,9,115,1/3/2025
122,DR_continuing chat from new chat page,Apple iOS,Continuing chat from new chat page,OVER ALL,OA,,,,,,,,122,1,9,,1/3/2025
123,DR_Message Us,Apple iOS,Visits to Chat (Bot),OVER ALL,OA,,Visits to Chat (Bot),,,,Apple iOS_OA_1.4,Apple iOS_OA_1,123,2,9,115,1/3/2025
124,DR_Agent Chat,Apple iOS,Visits to Agent Chat (Skip bot),OVER ALL,OA,,Visits to Agent Chat (Skip bot),,,,Apple iOS_OA_1.5,Apple iOS_OA_1,124,2,9,115,1/3/2025
125,DR_Self Service Initiated,Apple iOS,Visits to Self Service Features,OVER ALL,OA,,Visits to Self Service Features,,,,Apple iOS_OA_1.6,Apple iOS_OA_1,125,2,9,115,1/3/2025
